Variable,Table,Type,Description
UID,ANALYSIS_MUNICIPAL,float,unique record identifier
DRUID,ANALYSIS_MUNICIPAL,string,unique Discriminant Risk Unit ID: multipart polygons end in P#.
MRATID,ANALYSIS_MUNICIPAL,float,unique integer ID for raster analysis
DRUIDAREA,ANALYSIS_MUNICIPAL,string,DMTI postal code designation
POSTALCODE,ANALYSIS_MUNICIPAL,float,DRUID area
BLDADEN,ANALYSIS_MUNICIPAL,float,building area density within the DRUID. [footprint area of buildings/DRUID area]
BLDADEND0,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND1,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND2,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND3,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND4,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND5,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND6,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND7,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND8,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND9,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND10,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDAGEMAX,ANALYSIS_MUNICIPAL,float,building maximum age within the DRUID
BLDAGEMEA,ANALYSIS_MUNICIPAL,float,building mean age within the DRUID
BLDAGEMED,ANALYSIS_MUNICIPAL,float,building median age within the DRUID
BLDAGEMIN,ANALYSIS_MUNICIPAL,float,building minimum age within the DRUID
BLDAGESTD,ANALYSIS_MUNICIPAL,float,building age standard deviation within the DRUID
BLDCNT,ANALYSIS_MUNICIPAL,float,building count within the DRUID.
BLDDEN,ANALYSIS_MUNICIPAL,float,building density within the DRUID (count/DRUID area)
BLDDEND0,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND1,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND2,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND3,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND4,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND5,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND6,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND7,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND8,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND9,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND10,ANALYSIS_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDENI,ANALYSIS_MUNICIPAL,float,building density inverse within the DRUID (DRUID area/count) assume min 1 building per DRUID
BLDHTMAX,ANALYSIS_MUNICIPAL,float,building maximum height within the DRUID
BLDHTMEA,ANALYSIS_MUNICIPAL,float,building mean height within the DRUID
BLDHTMED,ANALYSIS_MUNICIPAL,float,building median height within the DRUID
BLDHTMIN,ANALYSIS_MUNICIPAL,float,building minimum height within the DRUID
BLDHTSTD,ANALYSIS_MUNICIPAL,float,building height standard deviation within the DRUID
BLDP,ANALYSIS_MUNICIPAL,integer,presence of buildings in DRUID
CLPRD,ANALYSIS_MUNICIPAL,float,number of months of latest CLAIM data as the set period of analysis
CLPRD30CNT,ANALYSIS_MUNICIPAL,float,count of months having a CLAIM type 30 in set period in DRUID
CLPRD30P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 30 in set period in DRUID
CLPRD31CNT,ANALYSIS_MUNICIPAL,float,count of months having a CLAIM type 31 in set period in DRUID
CLPRD31P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 31 in set period in DRUID
CLPRD39CNT,ANALYSIS_MUNICIPAL,float,count of months having a CLAIM type 39 in set period in DRUID
CLPRD39P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 39 in set period in DRUID
CLPRDCNT,ANALYSIS_MUNICIPAL,float,count of months having a CLAIM in set period in DRUID
CLPRDP,ANALYSIS_MUNICIPAL,integer,presence of CLAIM in set period in DRUID
CLPRDUKCNT,ANALYSIS_MUNICIPAL,float,count of months having a CLAIM type UNKNOWN in set period in DRUID
CLPRDUKP,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type UNKNOWN in set period in DRUID
CLTOT30CNT,ANALYSIS_MUNICIPAL,float,count of CLAIM type 30 in total period in DRUID
CLTOT30P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 30 in total period in DRUID
CLTOT31CNT,ANALYSIS_MUNICIPAL,float,count of CLAIM type 31 in total period in DRUID
CLTOT31P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 31 in total period in DRUID
CLTOT39CNT,ANALYSIS_MUNICIPAL,float,count of CLAIM type 39 in total period in DRUID
CLTOT39P,ANALYSIS_MUNICIPAL,integer,presence of CLAIM type 39 in total period in DRUID
CLTOTCNT,ANALYSIS_MUNICIPAL,float,count of CLAIM in total period in DRUID
CLTOTP,ANALYSIS_MUNICIPAL,integer,presence of CLAIM in total period in DRUID
CLTOTUKCNT,ANALYSIS_MUNICIPAL,float,count of CLAIM type UNKNOWN in total period in DRUID
