VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20
1,0.592,0.142,0.582,0.639,0.261,0.874,1,0.408,1,10,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2,0.592,0.142,0.582,0.639,0.261,0.874,2,0.409,11,10,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,0.596,0.152,0.585,0.640,0.280,0.866,3,0.402,21,10,L039,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,0.605,0.177,0.597,0.629,0.343,0.828,4,0.400,31,8,L039,RDDEN,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,0.605,0.176,0.596,0.637,0.330,0.840,4,0.398,35,1,L039,RDDEND1,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,0.606,0.176,0.595,0.640,0.326,0.844,4,0.397,36,1,L039,OICP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,0.602,0.175,0.599,0.609,0.374,0.795,5,0.397,41,9,L039,RDDEN,RDP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,0.610,0.195,0.609,0.611,0.417,0.774,5,0.393,42,1,L039,OICP,SLOPSTR1,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,0.610,0.194,0.607,0.617,0.400,0.789,6,0.394,51,9,BLDADEN,L039,RDDEN,RDP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,0.622,0.222,0.620,0.627,0.439,0.778,6,0.391,54,1,L039,OICP,RDDEN,RDP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N,N
11,0.620,0.219,0.620,0.621,0.446,0.768,7,0.389,61,5,BLDADEN,L039,OICP,RDDEN,RDP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N
12,0.617,0.214,0.615,0.618,0.448,0.761,7,0.387,62,3,L039,OICP,PCLDEND1,RDDEN,RDP,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N
13,0.619,0.217,0.618,0.620,0.449,0.764,7,0.389,66,2,L039,OICP,RDDEN,RDP,SAGESAND9,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N,N
14,0.618,0.215,0.614,0.619,0.453,0.758,8,0.387,71,8,BLDADEN,L039,OICP,RDDEN,RDP,SAGESAND9,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N
15,0.611,0.202,0.603,0.615,0.450,0.748,8,0.386,74,1,L039,OICP,PCLDEND1,RDDEN,RDP,SAGESAND9,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N
16,0.619,0.217,0.617,0.620,0.451,0.762,8,0.386,77,1,L039,OICP,PCLDEND1,RDDEN,RDP,SLOPSTR1,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N,N
17,0.613,0.206,0.609,0.615,0.444,0.758,9,0.387,81,1,BLDADEN,L039,OICP,RDDEN,RDP,SAGESAND9,SPDIASTRC,SSH7_25,T20_1800SD,N,N,N,N,N,N,N,N,N,N,N
18,0.616,0.212,0.610,0.619,0.457,0.752,9,0.386,82,5,BLDADEN,BLDDEND1,L039,OICP,RDDEN,RDP,SAGESAND9,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N
19,0.621,0.221,0.620,0.621,0.452,0.764,9,0.386,85,1,BLDADEN,L039,OICP,RDDEN,RDP,SLOPSTR1,SPAGESAN3,SPDIASTRC,SSH7_25,N,N,N,N,N,N,N,N,N,N,N
