"VARSET4","FUNCLABEL4","BTWTWCR4"
1,"LN1",9.51073835249224
2,"LN1",11.1788827668455
3,"LN1",12.4647664918405
4,"LN1",12.8772263497179
5,"LN1",12.999888005064
6,"LN1",13.4315503676996
7,"LN1",13.8098169747315
8,"LN1",13.9064310841427
9,"LN1",14.2372338502854
10,"LN1",14.4875978348613
11,"LN1",14.8181992966565
12,"LN1",14.8883537742404
13,"LN1",14.882005975564
14,"LN1",15.1586085516688
15,"LN1",15.2329787818823
16,"LN1",15.0874959013698
17,"LN1",15.2727816875656
18,"LN1",15.2492847102193
19,"LN1",15.2061636846282
20,"LN1",15.2347381082283
21,"LN1",15.1781289135378
22,"LN1",15.2819497451671
23,"LN1",15.4999857942775
24,"LN1",15.5984535741331
25,"LN1",15.5472608924153
26,"LN1",15.4947615328487
27,"LN1",15.5806783341658
28,"LN1",15.6082424287959
29,"LN1",15.6790211353312
30,"LN1",15.63095847493
31,"LN1",15.6108540828601
32,"LN1",15.5324224657444
33,"LN1",15.5906036626004
34,"LN1",15.5733724127266
35,"LN1",15.9054379250474
36,"LN1",16.0683619253846
37,"LN1",15.9234985745063
38,"LN1",16.1428392843356
39,"LN1",16.0923977563865
40,"LN1",16.1102236734544
41,"LN1",16.0502563269223
42,"LN1",16.1532852892925
43,"LN1",16.2856470903152
44,"LN1",16.0444445455906
45,"LN1",16.303606737453
46,"LN1",16.1351576482021
47,"LN1",16.42501228265
48,"LN1",16.4159224913957
49,"LN1",16.3340514884158
50,"LN1",16.420781482637
51,"LN1",16.4242898250134
52,"LN1",16.3975900557147
53,"LN1",16.4511212098573
54,"LN1",16.3907565526255
55,"LN1",16.3988941563686
56,"LN1",16.5516756719767
57,"LN1",16.4004870650996
58,"LN1",16.2389940036003
59,"LN1",16.5033470345732
60,"LN1",16.4897817445026
61,"LN1",16.5182891916517
62,"LN1",16.4399746910239
63,"LN1",16.625002838335
64,"LN1",16.6607749984149
65,"LN1",16.5501165983855
66,"LN1",16.3651630276703
67,"LN1",16.6419176369763
68,"LN1",16.6086760817571
69,"LN1",16.5234396456633
70,"LN1",16.749482181025
71,"LN1",16.6277774245201
72,"LN1",16.7172467000981
73,"LN1",16.7676262157268
74,"LN1",16.6807942406589
75,"LN1",16.7741632648317
76,"LN1",16.6936853999672
77,"LN1",16.5950816199026
78,"LN1",16.7190078858129
79,"LN1",16.8740897257261
80,"LN1",16.8603225674015
81,"LN1",16.830228544925
82,"LN1",16.6246470703258
83,"LN1",16.8746164263993
84,"LN1",16.8321784439411
85,"LN1",16.8751398240992
86,"LN1",16.8677941948897
87,"LN1",16.9630848763068
88,"LN1",16.9732489509685
89,"LN1",16.7579836101085
90,"LN1",16.9511155231354
91,"LN1",17.0110260938523
92,"LN1",16.8337744736257
93,"LN1",16.990163538857
94,"LN1",16.8448724817886
95,"LN1",17.0126536114824
96,"LN1",16.9640048326215
97,"LN1",16.9804675110115
