UID,DRUID,YEAR,MONTH,CLAIMNO,BACKUP_DEF,BACKUP_IBC
1,130009792P0,2001,7,26675,DAMAGE BUILDING,30
1,130009792P0,2000,5,26674,DAMAGE BUILDING,30
1,130009792P0,2004,12,26676,DAMAGE BUILDING,30
1,130009792P0,2005,1,26677,DAMAGE BUILDING,30
2,130009792P1,2009,7,18584,DAMAGE SEWER,39
2,130009792P1,2009,7,18585,DAMAGE SEWER,39
3,130009792P2,2008,7,14097,DAMAGE BUILDING,30
4,130009792P3,2003,1,20532,DAMAGE BUILDING,30
4,130009792P3,1993,5,20531,DAMAGE BUILDING,30
4,130009792P3,2009,7,20533,DAMAGE SEWER,39
4,130009792P3,2009,7,20534,DAMAGE SEWER,39
4,130009792P3,2009,7,20535,DAMAGE CONTENTS,31
4,130009792P3,2009,7,20536,DAMAGE SEWER,39
4,130009792P3,2009,7,20537,DAMAGE SEWER,39
4,130009792P3,2009,7,20538,DAMAGE BUILDING,30
4,130009792P3,2009,7,20539,DAMAGE CONTENTS,31
4,130009792P3,2009,7,20540,DAMAGE SEWER,39
4,130009792P3,2009,7,20541,DAMAGE SEWER,39
4,130009792P3,2009,7,20542,DAMAGE BUILDING,30
4,130009792P3,2009,7,20543,DAMAGE CONTENTS,31
5,130009792P4,1995,10,19786,DAMAGE BUILDING,30
5,130009792P4,2009,7,19787,DAMAGE SEWER,39
6,130009792P5,1994,12,23661,DAMAGE CONTENTS,31
6,130009792P5,1994,6,23660,DAMAGE CONTENTS,31
6,130009792P5,2009,7,23663,DAMAGE SEWER,39
6,130009792P5,2009,7,23664,DAMAGE CONTENTS,31
6,130009792P5,2009,7,23665,DAMAGE SEWER,39
6,130009792P5,2009,7,23666,DAMAGE SEWER,39
6,130009792P5,2009,7,23667,DAMAGE CONTENTS,31
6,130009792P5,2009,7,23668,DAMAGE CONTENTS,31
6,130009792P5,2009,7,23669,DAMAGE SEWER,39
6,130009792P5,2009,7,23670,DAMAGE SEWER,39
6,130009792P5,2009,7,23671,DAMAGE SEWER,39
6,130009792P5,2009,7,23672,DAMAGE SEWER,39
6,130009792P5,2002,11,23662,DAMAGE CONTENTS,31
6,130009792P5,1991,10,23659,DAMAGE CONTENTS,31
6,130009792P5,2009,7,23673,DAMAGE SEWER,39
7,130009792P6,2009,7,23736,DAMAGE SEWER,39
8,130009793P0,2009,7,23674,DAMAGE SEWER,39
9,130009793P1,1994,8,23097,DAMAGE CONTENTS,31
