"VARSET","REFCLASS","PREDCLASS","CTAB"
1,0,0,1418
1,0,1,204
1,1,0,1020
1,1,1,361
2,0,0,1418
2,0,1,204
2,1,0,1020
2,1,1,361
3,0,0,1404
3,0,1,218
3,1,0,994
3,1,1,387
4,0,0,1344
4,0,1,278
4,1,0,907
4,1,1,474
5,0,0,1362
5,0,1,260
5,1,0,925
5,1,1,456
6,0,0,1369
6,0,1,253
6,1,0,931
6,1,1,450
7,0,0,1292
7,0,1,330
7,1,0,862
7,1,1,519
8,0,0,1260
8,0,1,362
8,1,0,800
8,1,1,581
9,0,0,1282
9,0,1,340
9,1,0,827
9,1,1,554
10,0,0,1274
10,0,1,348
10,1,0,773
10,1,1,608
11,0,0,1249
11,0,1,373
11,1,0,765
11,1,1,616
12,0,0,1238
12,0,1,384
12,1,0,761
12,1,1,620
13,0,0,1243
13,0,1,379
13,1,0,755
13,1,1,626
14,0,0,1233
14,0,1,389
14,1,0,751
14,1,1,630
15,0,0,1229
15,0,1,393
15,1,0,759
15,1,1,622
16,0,0,1239
16,0,1,383
16,1,0,756
16,1,1,625
17,0,0,1232
17,0,1,390
17,1,0,762
17,1,1,619
18,0,0,1221
18,0,1,401
18,1,0,746
18,1,1,635
19,0,0,1244
19,0,1,378
19,1,0,754
19,1,1,627
20,0,0,1230
20,0,1,392
20,1,0,745
20,1,1,636
21,0,0,1233
21,0,1,389
21,1,0,754
21,1,1,627
22,0,0,1228
22,0,1,394
22,1,0,743
22,1,1,638
23,0,0,1238
23,0,1,384
23,1,0,741
23,1,1,640
24,0,0,1241
24,0,1,381
24,1,0,746
24,1,1,635
25,0,0,1232
25,0,1,390
25,1,0,746
25,1,1,635
26,0,0,1239
26,0,1,383
26,1,0,748
26,1,1,633
27,0,0,1231
27,0,1,391
27,1,0,742
27,1,1,639
28,0,0,1225
28,0,1,397
28,1,0,745
28,1,1,636
29,0,0,1238
29,0,1,384
29,1,0,755
29,1,1,626
30,0,0,1229
30,0,1,393
30,1,0,745
30,1,1,636
31,0,0,1232
31,0,1,390
31,1,0,747
31,1,1,634
32,0,0,1221
32,0,1,401
32,1,0,746
32,1,1,635
33,0,0,1235
33,0,1,387
33,1,0,738
33,1,1,643
34,0,0,1234
34,0,1,388
34,1,0,750
34,1,1,631
35,0,0,1227
35,0,1,395
35,1,0,734
35,1,1,647
36,0,0,1229
36,0,1,393
36,1,0,730
36,1,1,651
37,0,0,1251
37,0,1,371
37,1,0,749
37,1,1,632
38,0,0,1224
38,0,1,398
38,1,0,720
38,1,1,661
39,0,0,1217
39,0,1,405
39,1,0,719
39,1,1,662
40,0,0,1235
40,0,1,387
40,1,0,729
40,1,1,652
41,0,0,1223
41,0,1,399
41,1,0,722
41,1,1,659
42,0,0,1233
42,0,1,389
42,1,0,743
42,1,1,638
43,0,0,1230
43,0,1,392
43,1,0,716
43,1,1,665
44,0,0,1226
44,0,1,396
44,1,0,722
44,1,1,659
45,0,0,1222
45,0,1,400
45,1,0,709
45,1,1,672
46,0,0,1227
46,0,1,395
46,1,0,724
46,1,1,657
47,0,0,1227
47,0,1,395
47,1,0,712
47,1,1,669
48,0,0,1220
48,0,1,402
48,1,0,717
48,1,1,664
49,0,0,1220
49,0,1,402
49,1,0,723
49,1,1,658
50,0,0,1220
50,0,1,402
50,1,0,712
50,1,1,669
51,0,0,1215
51,0,1,407
51,1,0,718
51,1,1,663
52,0,0,1222
52,0,1,400
52,1,0,716
52,1,1,665
53,0,0,1220
53,0,1,402
53,1,0,711
53,1,1,670
