VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA
1,0.592,0.142,0.582,0.639,0.261,0.874
2,0.592,0.142,0.582,0.639,0.261,0.874
3,0.596,0.152,0.585,0.640,0.280,0.866
4,0.605,0.177,0.597,0.629,0.343,0.828
5,0.605,0.176,0.596,0.637,0.330,0.840
6,0.606,0.176,0.595,0.640,0.326,0.844
7,0.602,0.175,0.599,0.609,0.374,0.795
8,0.610,0.195,0.609,0.611,0.417,0.774
9,0.610,0.194,0.607,0.617,0.400,0.789
10,0.622,0.222,0.620,0.627,0.439,0.778
11,0.620,0.219,0.620,0.621,0.446,0.768
12,0.617,0.214,0.615,0.618,0.448,0.761
13,0.619,0.217,0.618,0.620,0.449,0.764
14,0.618,0.215,0.614,0.619,0.453,0.758
15,0.611,0.202,0.603,0.615,0.450,0.748
16,0.619,0.217,0.617,0.620,0.451,0.762
17,0.613,0.206,0.609,0.615,0.444,0.758
18,0.616,0.212,0.610,0.619,0.457,0.752
19,0.621,0.221,0.620,0.621,0.452,0.764
20,0.618,0.215,0.614,0.620,0.454,0.757
21,0.616,0.211,0.613,0.618,0.449,0.758
22,0.618,0.216,0.613,0.620,0.458,0.754
23,0.622,0.225,0.620,0.623,0.461,0.760
24,0.621,0.222,0.619,0.622,0.457,0.761
25,0.619,0.218,0.615,0.621,0.459,0.755
26,0.620,0.221,0.618,0.621,0.455,0.761
27,0.617,0.213,0.612,0.619,0.455,0.755
28,0.615,0.211,0.609,0.618,0.455,0.752
29,0.617,0.213,0.614,0.618,0.448,0.760
30,0.618,0.216,0.613,0.620,0.458,0.754
31,0.619,0.218,0.615,0.621,0.458,0.756
32,0.614,0.208,0.607,0.617,0.454,0.750
33,0.623,0.227,0.622,0.624,0.463,0.760
34,0.618,0.217,0.615,0.620,0.456,0.756
35,0.619,0.220,0.614,0.622,0.465,0.751
36,0.624,0.228,0.621,0.625,0.468,0.756
37,0.622,0.223,0.622,0.623,0.453,0.766
38,0.623,0.228,0.618,0.626,0.474,0.750
39,0.623,0.228,0.616,0.627,0.477,0.747
40,0.622,0.224,0.617,0.624,0.466,0.754
41,0.623,0.228,0.618,0.626,0.473,0.751
42,0.620,0.221,0.617,0.622,0.459,0.758
43,0.626,0.234,0.620,0.629,0.480,0.750
44,0.623,0.227,0.618,0.625,0.471,0.752
45,0.625,0.232,0.618,0.628,0.481,0.747
46,0.626,0.233,0.622,0.628,0.475,0.754
47,0.624,0.231,0.618,0.628,0.480,0.747
48,0.623,0.228,0.616,0.627,0.478,0.747
49,0.624,0.229,0.619,0.627,0.474,0.751
50,0.624,0.230,0.617,0.627,0.479,0.747
51,0.620,0.223,0.612,0.625,0.476,0.743
52,0.625,0.231,0.620,0.628,0.476,0.751
53,0.624,0.231,0.618,0.628,0.481,0.747
54,0.621,0.224,0.613,0.626,0.478,0.743
55,0.628,0.238,0.622,0.631,0.486,0.748
56,0.626,0.235,0.620,0.629,0.482,0.749
57,0.622,0.225,0.619,0.624,0.463,0.758
58,0.618,0.218,0.610,0.622,0.470,0.744
59,0.623,0.228,0.616,0.627,0.477,0.747
60,0.622,0.227,0.613,0.627,0.482,0.742
61,0.626,0.234,0.621,0.629,0.480,0.750
62,0.622,0.224,0.622,0.622,0.455,0.764
63,0.626,0.235,0.619,0.630,0.485,0.746
64,0.626,0.235,0.619,0.630,0.485,0.746
65,0.624,0.230,0.619,0.627,0.476,0.750
66,0.619,0.218,0.615,0.621,0.459,0.755
67,0.625,0.232,0.619,0.628,0.479,0.748
68,0.626,0.234,0.621,0.629,0.481,0.750
69,0.623,0.227,0.616,0.626,0.476,0.748
70,0.626,0.234,0.618,0.630,0.486,0.745
71,0.622,0.227,0.615,0.627,0.479,0.745
72,0.623,0.229,0.616,0.628,0.481,0.745
73,0.627,0.237,0.623,0.630,0.482,0.752
74,0.626,0.234,0.622,0.628,0.477,0.753
75,0.630,0.243,0.627,0.633,0.486,0.753
76,0.625,0.233,0.621,0.628,0.477,0.752
77,0.622,0.226,0.618,0.625,0.469,0.753
78,0.628,0.239,0.622,0.631,0.487,0.748
79,0.625,0.235,0.616,0.631,0.494,0.737
80,0.629,0.240,0.625,0.631,0.483,0.753
81,0.631,0.244,0.626,0.633,0.490,0.751
82,0.622,0.225,0.617,0.625,0.469,0.753
83,0.626,0.236,0.620,0.630,0.485,0.747
84,0.628,0.239,0.620,0.632,0.491,0.744
85,0.625,0.232,0.618,0.629,0.482,0.746
86,0.624,0.229,0.619,0.626,0.473,0.752
87,0.628,0.240,0.621,0.632,0.491,0.745
88,0.627,0.237,0.622,0.630,0.483,0.750
89,0.621,0.223,0.615,0.624,0.469,0.750
90,0.627,0.237,0.622,0.630,0.483,0.750
91,0.625,0.234,0.617,0.630,0.487,0.743
92,0.629,0.240,0.624,0.631,0.484,0.752
93,0.624,0.232,0.617,0.629,0.484,0.744
94,0.624,0.231,0.618,0.628,0.480,0.747
95,0.634,0.250,0.631,0.635,0.491,0.755
96,0.632,0.246,0.630,0.633,0.485,0.757
97,0.632,0.248,0.629,0.634,0.490,0.754
