"VARSET","REFCLASS","PREDCLASS","CTAB"
1,0,0,1418
1,0,1,204
1,1,0,1020
1,1,1,361
2,0,0,1418
2,0,1,204
2,1,0,1020
2,1,1,361
3,0,0,1404
3,0,1,218
3,1,0,994
3,1,1,387
4,0,0,1343
4,0,1,279
4,1,0,907
4,1,1,474
5,0,0,1362
5,0,1,260
5,1,0,925
5,1,1,456
6,0,0,1369
6,0,1,253
6,1,0,931
6,1,1,450
7,0,0,1290
7,0,1,332
7,1,0,864
7,1,1,517
8,0,0,1255
8,0,1,367
8,1,0,805
8,1,1,576
9,0,0,1279
9,0,1,343
9,1,0,828
9,1,1,553
10,0,0,1262
10,0,1,360
10,1,0,775
10,1,1,606
11,0,0,1246
11,0,1,376
11,1,0,765
11,1,1,616
12,0,0,1235
12,0,1,387
12,1,0,762
12,1,1,619
13,0,0,1239
13,0,1,383
13,1,0,761
13,1,1,620
14,0,0,1229
14,0,1,393
14,1,0,755
14,1,1,626
15,0,0,1214
15,0,1,408
15,1,0,760
15,1,1,621
16,0,0,1236
16,0,1,386
16,1,0,758
16,1,1,623
17,0,0,1229
17,0,1,393
17,1,0,768
17,1,1,613
18,0,0,1219
18,0,1,403
18,1,0,750
18,1,1,631
19,0,0,1240
19,0,1,382
19,1,0,757
19,1,1,624
20,0,0,1228
20,0,1,394
20,1,0,754
20,1,1,627
21,0,0,1230
21,0,1,392
21,1,0,761
21,1,1,620
22,0,0,1223
22,0,1,399
22,1,0,748
22,1,1,633
23,0,0,1233
23,0,1,389
23,1,0,745
23,1,1,636
24,0,0,1234
24,0,1,388
24,1,0,750
24,1,1,631
25,0,0,1225
25,0,1,397
25,1,0,747
25,1,1,634
26,0,0,1234
26,0,1,388
26,1,0,752
26,1,1,629
27,0,0,1224
27,0,1,398
27,1,0,753
27,1,1,628
28,0,0,1219
28,0,1,403
28,1,0,752
28,1,1,629
29,0,0,1233
29,0,1,389
29,1,0,762
29,1,1,619
30,0,0,1223
30,0,1,399
30,1,0,748
30,1,1,633
31,0,0,1227
31,0,1,395
31,1,0,749
31,1,1,632
32,0,0,1216
32,0,1,406
32,1,0,754
32,1,1,627
33,0,0,1233
33,0,1,389
33,1,0,742
33,1,1,639
34,0,0,1227
34,0,1,395
34,1,0,751
34,1,1,630
35,0,0,1218
35,0,1,404
35,1,0,739
35,1,1,642
36,0,0,1227
36,0,1,395
36,1,0,735
36,1,1,646
37,0,0,1243
37,0,1,379
37,1,0,756
37,1,1,625
38,0,0,1217
38,0,1,405
38,1,0,727
38,1,1,654
39,0,0,1212
39,0,1,410
39,1,0,722
39,1,1,659
40,0,0,1223
40,0,1,399
40,1,0,737
40,1,1,644
41,0,0,1218
41,0,1,404
41,1,0,728
41,1,1,653
42,0,0,1229
42,0,1,393
42,1,0,747
42,1,1,634
43,0,0,1216
43,0,1,406
43,1,0,718
43,1,1,663
44,0,0,1220
44,0,1,402
44,1,0,731
44,1,1,650
45,0,0,1212
45,0,1,410
45,1,0,717
45,1,1,664
46,0,0,1223
46,0,1,399
46,1,0,725
46,1,1,656
47,0,0,1212
47,0,1,410
47,1,0,718
47,1,1,663
48,0,0,1211
48,0,1,411
48,1,0,721
48,1,1,660
49,0,0,1218
49,0,1,404
49,1,0,726
49,1,1,655
50,0,0,1212
50,0,1,410
50,1,0,720
50,1,1,661
51,0,0,1205
51,0,1,417
51,1,0,723
51,1,1,658
52,0,0,1218
52,0,1,404
52,1,0,723
52,1,1,658
53,0,0,1211
53,0,1,411
53,1,0,717
53,1,1,664
