Variable,Table,Type,Description
UID,SUMMARY_MUNICIPAL,float,unique record identifier
DRUID,SUMMARY_MUNICIPAL,string,unique Discriminant Risk Unit ID: multipart polygons end in P#.
MRATID,SUMMARY_MUNICIPAL,float,unique integer ID for raster analysis
DRUIDAREA,SUMMARY_MUNICIPAL,string,DMTI postal code designation
POSTALCODE,SUMMARY_MUNICIPAL,float,DRUID area
BLDADEN,SUMMARY_MUNICIPAL,float,building area density within the DRUID. [footprint area of buildings/DRUID area]
BLDADEND0,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND1,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND2,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND3,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND4,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND5,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND6,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND7,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND8,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND9,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDADEND10,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building area density distribution
BLDAGEMAX,SUMMARY_MUNICIPAL,float,building maximum age within the DRUID
BLDAGEMEA,SUMMARY_MUNICIPAL,float,building mean age within the DRUID
BLDAGEMED,SUMMARY_MUNICIPAL,float,building median age within the DRUID
BLDAGEMIN,SUMMARY_MUNICIPAL,float,building minimum age within the DRUID
BLDAGESTD,SUMMARY_MUNICIPAL,float,building age standard deviation within the DRUID
BLDCNT,SUMMARY_MUNICIPAL,float,building count within the DRUID.
BLDDEN,SUMMARY_MUNICIPAL,float,building density within the DRUID (count/DRUID area)
BLDDEND0,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND1,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND2,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND3,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND4,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND5,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND6,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND7,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND8,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND9,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDEND10,SUMMARY_MUNICIPAL,integer,DRUID in decile N of cross DRUID building density distribution
BLDDENI,SUMMARY_MUNICIPAL,float,building density inverse within the DRUID (DRUID area/count) assume min 1 building per DRUID
BLDHTMAX,SUMMARY_MUNICIPAL,float,building maximum height within the DRUID
BLDHTMEA,SUMMARY_MUNICIPAL,float,building mean height within the DRUID
BLDHTMED,SUMMARY_MUNICIPAL,float,building median height within the DRUID
BLDHTMIN,SUMMARY_MUNICIPAL,float,building minimum height within the DRUID
BLDHTSTD,SUMMARY_MUNICIPAL,float,building height standard deviation within the DRUID
BLDP,SUMMARY_MUNICIPAL,integer,presence of buildings in DRUID
CLPRD,SUMMARY_MUNICIPAL,float,number of months of latest CLAIM data as the set period of analysis
CLPRD30CNT,SUMMARY_MUNICIPAL,float,count of months having a CLAIM type 30 in set period in DRUID
CLPRD30P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 30 in set period in DRUID
CLPRD31CNT,SUMMARY_MUNICIPAL,float,count of months having a CLAIM type 31 in set period in DRUID
CLPRD31P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 31 in set period in DRUID
CLPRD39CNT,SUMMARY_MUNICIPAL,float,count of months having a CLAIM type 39 in set period in DRUID
CLPRD39P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 39 in set period in DRUID
CLPRDCNT,SUMMARY_MUNICIPAL,float,count of months having a CLAIM in set period in DRUID
CLPRDP,SUMMARY_MUNICIPAL,integer,presence of CLAIM in set period in DRUID
CLPRDUKCNT,SUMMARY_MUNICIPAL,float,count of months having a CLAIM type UNKNOWN in set period in DRUID
CLPRDUKP,SUMMARY_MUNICIPAL,integer,presence of CLAIM type UNKNOWN in set period in DRUID
CLTOT30CNT,SUMMARY_MUNICIPAL,float,count of CLAIM type 30 in total period in DRUID
CLTOT30P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 30 in total period in DRUID
CLTOT31CNT,SUMMARY_MUNICIPAL,float,count of CLAIM type 31 in total period in DRUID
CLTOT31P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 31 in total period in DRUID
CLTOT39CNT,SUMMARY_MUNICIPAL,float,count of CLAIM type 39 in total period in DRUID
CLTOT39P,SUMMARY_MUNICIPAL,integer,presence of CLAIM type 39 in total period in DRUID
CLTOTCNT,SUMMARY_MUNICIPAL,float,count of CLAIM in total period in DRUID
CLTOTP,SUMMARY_MUNICIPAL,integer,presence of CLAIM in total period in DRUID
CLTOTUKCNT,SUMMARY_MUNICIPAL,float,count of CLAIM type UNKNOWN in total period in DRUID
CLTOTUKP,SUMMARY_MUNICIPAL,integer,presence of CLAIM type UNKNOWN in total period in DRUID
FLDDGN,SUMMARY_MUNICIPAL,float,floodplain design in DRUID
FLDDGNPROP,SUMMARY_MUNICIPAL,float,floodplain design standard area weighted in DRUID
FLDP,SUMMARY_MUNICIPAL,integer,presence of floodplain in DRUID
GAWHC,SUMMARY_MUNICIPAL,float,available water holding capacity of soil in DRUID
GAWHC1,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 1 in DRUID
GAWHC2,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 2 in DRUID
GAWHC3,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 3 in DRUID
GAWHC4,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 4 in DRUID
GAWHC5,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 5 in DRUID
GAWHC6,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 6 in DRUID
GAWHC7,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 7 in DRUID
GAWHC8,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 8 in DRUID
GAWHC9,SUMMARY_MUNICIPAL,integer,presence of available water holding capacity of soil type 9 in DRUID
GDRAIN1VR,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 1 in DRUID
GDRAIN2R,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 2 in DRUID
GDRAIN3W,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 3 in DRUID
GDRAIN4MW,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 4 in DRUID
GDRAIN5I,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 5 in DRUID
GDRAIN6P,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 6 in DRUID
GDRAIN7VP,SUMMARY_MUNICIPAL,integer,presence of drainage class of soil type 7 in DRUID
GWTRTB1YB,SUMMARY_MUNICIPAL,integer,presence of water table characteristics of soils type 1 in DRUID
GWTRTB2YG,SUMMARY_MUNICIPAL,integer,presence of water table characteristics of soils type 2 in DRUID
GWTRTB3YN,SUMMARY_MUNICIPAL,integer,presence of water table characteristics of soils type 3 in DRUID
GWTRTB4YU,SUMMARY_MUNICIPAL,integer,presence of water table characteristics of soils type 4 in DRUID
GWTRTB5NO,SUMMARY_MUNICIPAL,integer,presence of water table characteristics of soils type 5 in DRUID
HBNKCDH,SUMMARY_MUNICIPAL,float,horizontal distance of DRUID centroid to nearest NHN BANK
HBNKCDV,SUMMARY_MUNICIPAL,float,vertical distance of DRUID centroid to nearest NHN BANK
