CITY,PERIOD,DURATION,INTERVAL,HRAIN,TRMM
WINNIPEG,HISTORICAL,5,2,101.04,4.21
WINNIPEG,HISTORICAL,10,2,75.6,6.3
WINNIPEG,HISTORICAL,15,2,63.2,7.9
WINNIPEG,HISTORICAL,30,2,42.6,10.65
WINNIPEG,HISTORICAL,60,2,25.8,12.9
WINNIPEG,HISTORICAL,120,2,15.85,15.85
WINNIPEG,HISTORICAL,360,2,6.47,19.4
WINNIPEG,HISTORICAL,720,2,3.57,21.4
WINNIPEG,HISTORICAL,1440,2,2.14,25.7
WINNIPEG,HISTORICAL,5,5,132,2.2
WINNIPEG,HISTORICAL,10,5,100.2,3.34
WINNIPEG,HISTORICAL,15,5,84,4.2
WINNIPEG,HISTORICAL,30,5,58,5.8
WINNIPEG,HISTORICAL,60,5,35.5,7.1
WINNIPEG,HISTORICAL,120,5,22.1,8.84
WINNIPEG,HISTORICAL,360,5,8.87,10.64
WINNIPEG,HISTORICAL,720,5,4.78,11.48
WINNIPEG,HISTORICAL,1440,5,2.77,13.28
WINNIPEG,HISTORICAL,5,10,153.6,1.28
WINNIPEG,HISTORICAL,10,10,116.4,1.94
WINNIPEG,HISTORICAL,15,10,98,2.45
WINNIPEG,HISTORICAL,30,10,68.2,3.41
WINNIPEG,HISTORICAL,60,10,42,4.2
WINNIPEG,HISTORICAL,120,10,26.25,5.25
WINNIPEG,HISTORICAL,360,10,10.47,6.28
WINNIPEG,HISTORICAL,720,10,5.58,6.7
WINNIPEG,HISTORICAL,1440,10,3.18,7.63
WINNIPEG,HISTORICAL,5,25,178.8,0.596
WINNIPEG,HISTORICAL,10,25,136.8,0.912
WINNIPEG,HISTORICAL,15,25,115.6,1.156
WINNIPEG,HISTORICAL,30,25,81.2,1.624
WINNIPEG,HISTORICAL,60,25,50.1,2.004
WINNIPEG,HISTORICAL,120,25,31.5,2.52
WINNIPEG,HISTORICAL,360,25,12.47,2.992
WINNIPEG,HISTORICAL,720,25,6.59,3.164
WINNIPEG,HISTORICAL,1440,25,3.7,3.552
WINNIPEG,HISTORICAL,5,50,199.2,0.332
WINNIPEG,HISTORICAL,10,50,151.8,0.506
WINNIPEG,HISTORICAL,15,50,128.4,0.642
WINNIPEG,HISTORICAL,30,50,90.6,0.906
WINNIPEG,HISTORICAL,60,50,56.1,1.122
WINNIPEG,HISTORICAL,120,50,35.4,1.416
WINNIPEG,HISTORICAL,360,50,13.95,1.674
WINNIPEG,HISTORICAL,720,50,7.35,1.764
WINNIPEG,HISTORICAL,1440,50,4.09,1.962
WINNIPEG,HISTORICAL,5,100,218.4,0.182
WINNIPEG,HISTORICAL,10,100,166.8,0.278
WINNIPEG,HISTORICAL,15,100,141.6,0.354
WINNIPEG,HISTORICAL,30,100,100.2,0.501
WINNIPEG,HISTORICAL,60,100,62.1,0.621
WINNIPEG,HISTORICAL,120,100,39.3,0.786
WINNIPEG,HISTORICAL,360,100,15.43,0.926
WINNIPEG,HISTORICAL,720,100,8.09,0.971
WINNIPEG,HISTORICAL,1440,100,4.46,1.07
WINNIPEG,L2020,5,2,77.61,3.233824367
WINNIPEG,L2020,10,2,64.81,5.401123981
WINNIPEG,L2020,15,2,56.67,7.083135562
WINNIPEG,L2020,30,2,38.91,9.726836795
WINNIPEG,L2020,60,2,23.76,11.87836763
WINNIPEG,L2020,120,2,15.86,15.85985775
WINNIPEG,L2020,360,2,6.61,19.8273025
WINNIPEG,L2020,720,2,3.7,22.22138417
WINNIPEG,L2020,1440,2,2.21,26.52421518
WINNIPEG,L2020,5,5,108.43,1.807165115
WINNIPEG,L2020,10,5,109.12,3.637281186
WINNIPEG,L2020,15,5,87.88,4.393952257
WINNIPEG,L2020,30,5,57.81,5.781076477
WINNIPEG,L2020,60,5,35.82,7.164913403
WINNIPEG,L2020,120,5,22.16,8.862767566
WINNIPEG,L2020,360,5,9.11,10.92621933
WINNIPEG,L2020,720,5,5.14,12.33118615
WINNIPEG,L2020,1440,5,2.84,13.6352917
WINNIPEG,L2020,5,10,128.83,1.073618211
WINNIPEG,L2020,10,10,138.45,2.307536102
WINNIPEG,L2020,15,10,108.55,2.713635078
WINNIPEG,L2020,30,10,67.57,3.378282848
WINNIPEG,L2020,60,10,43.81,4.381452169
WINNIPEG,L2020,120,10,26.33,5.265224266
WINNIPEG,L2020,360,10,10.76,6.454683723
WINNIPEG,L2020,720,10,6.09,7.3052542
WINNIPEG,L2020,1440,10,3.26,7.81925295
WINNIPEG,L2020,5,25,154.62,0.515383484
WINNIPEG,L2020,10,25,175.52,1.17010275
WINNIPEG,L2020,15,25,134.66,1.346574012
WINNIPEG,L2020,30,25,79.89,1.597819782
