"VARSET","NVAR","UERROR"
1,1,0.408217638779251
2,2,0.408505472612647
3,3,0.402339785811824
4,4,0.400175562898058
5,4,0.398067287206445
6,4,0.396983164214368
7,5,0.396507156775448
8,5,0.393457802196706
9,6,0.393923488215432
10,6,0.390804305743096
11,7,0.388648561011647
12,7,0.387181535709346
13,7,0.388979405039502
14,8,0.38713853443291
15,8,0.385736042185697
16,8,0.385971857870406
17,9,0.386750737172326
18,9,0.386201489524883
19,9,0.385964759765831
20,9,0.386988793485894
21,9,0.386227269411257
22,9,0.38642221959432
23,10,
24,10,
25,10,0.384399694626323
26,10,0.38453485957445
27,11,0.384153741503594
28,11,0.383927745622192
29,11,0.383684427133819
30,11,0.38422990621027
31,11,
32,11,0.384003007247354
33,11,0.384331918288805
34,11,0.38432322896718
35,12,
36,13,
37,13,0.381575164181082
38,13,
39,13,
40,13,
41,13,
42,14,
43,14,
44,14,
45,14,
46,14,
47,15,
48,15,
49,15,
50,15,
51,15,
52,15,
53,15,
54,15,
55,16,
56,16,
57,16,
58,16,
59,16,
60,16,
61,16,
62,16,
63,17,
64,17,
65,17,
66,17,
67,17,
68,17,
69,17,
70,18,
71,18,
72,18,
73,18,
74,18,
75,18,
76,18,
77,18,
78,18,
79,19,
80,19,
81,19,
82,19,
83,19,
84,19,
85,19,
86,19,
87,19,
88,20,
89,20,
90,20,
91,20,
92,20,
93,20,
94,20,
95,20,
96,20,
97,20,
