TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,VARSELECT,UID,UID,integer,-1,1,R output file
2,VARSELECT,MODELID,MODELID,integer,-1,1,R output file
3,VARSELECT,SOLTYPE,SOLTYPE,integer,-1,1,R output file
4,VARSELECT,SOLNUM,SOLNUM,integer,-1,1,R output file
5,VARSELECT,KVAR,KVAR,integer,-1,1,R output file
6,VARSELECT,VARNUM,VARNUM,integer,-1,1,R output file
7,VARSELECT,VARNAME,VARNAME,string,-1,1,R output file
8,XVARSELV1,TVID,TVID,integer,,1,
9,XVARSELV1,VARNAME,VARNAME,string,,1,
10,XVARSELV1,XVARSEL,XVARSEL,string,,1,X if X-variable - Y if Y-variable - otherwise N (not X or Y)
11,CTABULATION,VARSET,VARSET,integer,-1,1,The R variable set number
12,CTABULATION,REFCLASS,REFCLASS,integer,-1,1,Actual class assigned to observation originally
13,CTABULATION,PREDCLASS,PREDCLASS,integer,-1,1,Predicted class assigned to observation
14,CTABULATION,CTAB,CTAB,integer,-1,1,Number of observations assigned to both REFCLASS and PREDCLASS
15,MINMAXCOR,VARSET,VARSET,integer,-1,1,The R variable set number
16,MINMAXCOR,VARNO,VARNO,integer,-1,1,The number of variables included in the variable set
17,MINMAXCOR,MAXCOR,MAXCOR,float,-1,1,Maximum correlation coefficient amongst all pairs of variables
18,MINMAXCOR,MINCOR,MINCOR,float,-1,1,Minimum correlation coefficient amongst all pairs of variables
19,POSTERIOR,VARSET,VARSET,integer,-1,1,The R variable set number
20,POSTERIOR,NVAR,NVAR,integer,-1,1,The number of variables included in the variable set
21,POSTERIOR,UERROR,UERROR,float,-1,1,Posterior error of estimation
22,CTABSUM,VARSET,VARSET,integer,-1,1,The R variable set number
23,CTABSUM,OA,OA,float,-1,1,Overall error percent
24,CTABSUM,KHAT,KHAT,float,-1,1,Cohen's 1960 KHAT statistic
25,CTABSUM,MINPA,MINPA,float,-1,1,Minimum producer's classification success rate (1-omission error)
26,CTABSUM,MAXPA,MAXPA,float,-1,1,Maximum producer's  classification success rate (1-omission error)
27,CTABSUM,MINUA,MINUA,float,-1,1,Minimum user's classification success rate (1-comission error)
28,CTABSUM,MAXUA,MAXUA,float,-1,1,Maximum user's classification success rate (1-omission error)
29,DFUNCT,VARSET3,VARSET3,integer,,1,This corresponds to a system of classification and provides a key link with VARSET in the tables above.
30,DFUNCT,VARNAMES3,VARNAMES3,string,,1,These are the actual variable names used in the equations to classify a given object or establish a nearest neighbour
31,DFUNCT,FUNCLABEL3,FUNCLABEL3,string,,1,These are labels to identify each unique discriminant function within a a VARSET3
32,DFUNCT,DFCOEF3,DFCOEF3,float,,1,These are the coefficients assigned to each variable name within each dscriminant function for a given variable set
33,BWRATIO,VARSET4,VARSET4,integer,,1,This corresponds to a system of classification and provides a key link with VARSET3 in the DFUNC table
34,BWRATIO,FUNCLABEL4,FUNCLABEL4,string,,1,This corrsponds with FUNCLABEL3 in the DFUNC table
35,BWRATIO,BTWTWCR4,BTWTWCR4,float,,1,Between to with variance ratios (sqrt of eigen values associated with each discriminant function)
36,LVINEW,LVI_FCOID,LVI_FCOID,integer,,0,
37,LVINEW,CLASS,CLASS,string,,0,
38,LVINEW,LVI_PROP_PL,LVI_PROP_PL,continuous,,0,
39,LVINEW,LVI_PROP_SX,LVI_PROP_SX,continuous,,0,
40,LVINEW,LVI_PROP_AT,LVI_PROP_AT,continuous,,0,
41,LVINEW,LVI_PROP_FD,LVI_PROP_FD,continuous,,0,
42,LVINEW,LVI_HT_PL,LVI_HT_PL,continuous,,1,
43,LVINEW,LVI_HT_SX,LVI_HT_SX,continuous,,1,
44,LVINEW,LVI_HT_AT,LVI_HT_AT,continuous,,1,
45,LVINEW,LVI_HT_FD,LVI_HT_FD,continuous,,1,
46,LVINEW,LVI_AGE_PL,LVI_AGE_PL,continuous,,1,
47,LVINEW,LVI_AGE_SX,LVI_AGE_SX,continuous,,1,
48,LVINEW,LVI_AGE_AT,LVI_AGE_AT,continuous,,1,
49,LVINEW,LVI_AGE_FD,LVI_AGE_FD,continuous,,1,
50,LVINEW,LVI_SI_PL,LVI_SI_PL,continuous,,1,
51,LVINEW,LVI_SI_SX,LVI_SI_SX,continuous,,1,
52,LVINEW,LVI_SI_AT,LVI_SI_AT,continuous,,1,
53,LVINEW,LVI_SI_FD,LVI_SI_FD,continuous,,1,
54,LVINEW,LVI_BA_PL,LVI_BA_PL,continuous,,1,
55,LVINEW,LVI_BA_SX,LVI_BA_SX,continuous,,1,
56,LVINEW,LVI_BA_AT,LVI_BA_AT,continuous,,1,
57,LVINEW,LVI_BA_FD,LVI_BA_FD,continuous,,1,
58,LVINEW,LVI_VOL_PL,LVI_VOL_PL,continuous,,1,
59,LVINEW,LVI_VOL_SX,LVI_VOL_SX,continuous,,1,
60,LVINEW,LVI_VOL_AT,LVI_VOL_AT,continuous,,1,
61,LVINEW,LVI_VOL_FD,LVI_VOL_FD,continuous,,1,
62,LVINEW,SBPS,SBPS,dummy,,0,
63,LVINEW,MS,MS,dummy,,0,
64,LVINEW,IDF,IDF,dummy,,0,
65,LVINEW,ESSF,ESSF,dummy,,0,
66,LVINEW,SBPSdc,SBPSdc,dummy,,0,
67,LVINEW,SBPSmc,SBPSmc,dummy,,0,
68,LVINEW,SBPSmk,SBPSmk,dummy,,0,
69,LVINEW,SBPSxc,SBPSxc,dummy,,0,
