TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,DCS_VRI_PEM_ATT,FOREST_COVER_OBJECT_ID,VRI_FCOID,integer,,1,
2,DCS_VRI_PEM_ATT,FEATURE_ID,VRI_FID,integer,,1,
3,DCS_VRI_PEM_ATT,VRI_POLY_Area,VRI_AREA,continuous,,1,
4,DCS_VRI_PEM_ATT,POLYGON_ID,VRI_PID,integer,,1,
5,DCS_VRI_PEM_ATT,POLYGON_AREA_1,VRI_PAREA,continuous,,1,
6,DCS_VRI_PEM_ATT,REFERENCE_YEAR_1,VRI_RYEAR,ordinal,,1,
7,DCS_VRI_PEM_ATT,PROJECTED_DATE,VRI_PDATE,ordinal,,1,
8,DCS_VRI_PEM_ATT,BEC_ZONE_CODE,VRI_BECZ,nominal,,1,
9,DCS_VRI_PEM_ATT,BEC_SUBZONE,VRI_BECS,nominal,,1,
10,DCS_VRI_PEM_ATT,BEC_VARIANT,VRI_BECV,nominal,,1,
11,DCS_VRI_PEM_ATT,BEC_PHASE,VRI_BECP,nominal,,1,
12,DCS_VRI_PEM_ATT,STAND_PERCENTAGE_DEAD,VRI_DSPCT,continuous,,1,
13,DCS_VRI_PEM_ATT,LAYER_ID,VRI_LID,nominal,,1,
14,DCS_VRI_PEM_ATT,FOR_COVER_RANK_CD,VRI_RANK,ordinal,,1,
15,DCS_VRI_PEM_ATT,EST_SITE_INDEX,VRI_ESI,continuous,,1,
16,DCS_VRI_PEM_ATT,CROWN_CLOSURE,VRI_CCPCT,continuous,,1,
17,DCS_VRI_PEM_ATT,SITE_INDEX,VRI_SI,continuous,,1,
18,DCS_VRI_PEM_ATT,BASAL_AREA,VRI_BPH,continuous,,1,
19,DCS_VRI_PEM_ATT,VRI_LIVE_STEMS_PER_HA,VRI_LSPH,continuous,,1,
20,DCS_VRI_PEM_ATT,VRI_DEAD_STEMS_PER_HA,VRI_DSPH,continuous,,1,
21,DCS_VRI_PEM_ATT,SPECIES_CD_1,VRI_SP1,nominal,,1,
22,DCS_VRI_PEM_ATT,SPECIES_PCT_1,VRI_PCT1,continuous,,1,
23,DCS_VRI_PEM_ATT,SPECIES_CD_2,VRI_SP2,nominal,,1,
24,DCS_VRI_PEM_ATT,SPECIES_PCT_2,VRI_PCT2,continuous,,1,
25,DCS_VRI_PEM_ATT,SPECIES_CD_3,VRI_SP3,nominal,,1,
26,DCS_VRI_PEM_ATT,SPECIES_PCT_3,VRI_PCT3,continuous,,1,
27,DCS_VRI_PEM_ATT,SPECIES_CD_4,VRI_SP4,nominal,,1,
28,DCS_VRI_PEM_ATT,SPECIES_PCT_4,VRI_PCT4,continuous,,1,
29,DCS_VRI_PEM_ATT,SPECIES_CD_5,VRI_SP5,nominal,,1,
30,DCS_VRI_PEM_ATT,SPECIES_PCT_5,VRI_PCT5,continuous,,1,
31,DCS_VRI_PEM_ATT,SPECIES_CD_6,VRI_SP6,nominal,,1,
32,DCS_VRI_PEM_ATT,SPECIES_PCT_6,VRI_PCT6,continuous,,1,
33,DCS_VRI_PEM_ATT,PROJ_AGE_1,VRI_PAGE1,continuous,,1,
34,DCS_VRI_PEM_ATT,PROJ_AGE_2,VRI_PAGE2,continuous,,1,
35,DCS_VRI_PEM_ATT,PROJ_HEIGHT_1,VRI_PHT1,continuous,,1,
36,DCS_VRI_PEM_ATT,PROJ_HEIGHT_2,VRI_PHT2,continuous,,1,
37,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP1_125,VRI_LVPH125_SP1,continuous,,1,
38,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP2_125,VRI_LVPH125_SP2,continuous,,1,
39,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP3_125,VRI_LVPH125_SP3,continuous,,1,
40,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP4_125,VRI_LVPH125_SP4,continuous,,1,
41,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP5_125,VRI_LVPH125_SP5,continuous,,1,
42,DCS_VRI_PEM_ATT,LIVE_VOL_PER_HA_SPP6_125,VRI_LVPH125_SP6,continuous,,1,
43,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP1_125,VRI_DVPH125_SP1,continuous,,1,
44,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP2_125,VRI_DVPH125_SP2,continuous,,1,
45,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP3_125,VRI_DVPH125_SP3,continuous,,1,
46,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP4_125,VRI_DVPH125_SP4,continuous,,1,
47,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP5_125,VRI_DVPH125_SP5,continuous,,1,
48,DCS_VRI_PEM_ATT,DEAD_VOL_PER_HA_SPP6_125,VRI_DVPH125_SP6,continuous,,1,
49,DCS_VRI_PEM_ATT,LIVE_STAND_VOLUME_125,VRI_LVPH125,continuous,,1,
50,DCS_VRI_PEM_ATT,WHOLE_STEM_BIOMASS_PER_HA,VRI_WSBPH,continuous,,1,
51,DCS_VRI_PEM_ATT,TEIS_ID,PEM_TEIS_ID,nominal,,1,
52,DCS_VRI_PEM_ATT,PEM_POLY_Area,PEM_AREA,continuous,,1,
53,DCS_VRI_PEM_ATT,SITE_S1,PEM_SSERIES,nominal,,1,
54,DCS_VRI_PEM_ATT,PEM_CLASS,PEM_CLASS,float,,1,
55,DCS_VRI_PEM_ATT,GEOMETRY_Length,PEM_GEOLEN,continuous,,1,
56,DCS_VRI_PEM_ATT,GEOMETRY_Area,PEM_GEOAREA,continuous,,1,
57,DCS_ATT_SPECTRAL,FOREST_COVER_OBJECT_ID,LVI_FCOID,integer,,1,
58,DCS_ATT_SPECTRAL,OBJECTID,LVI_OID,integer,,0,
59,DCS_ATT_SPECTRAL,MATCH_SEGMENT,LVI_MSEG,nominal,,0,
60,DCS_ATT_SPECTRAL,SEGMENT_AREA,LVI_SEGAREA,continuous,,0,
61,DCS_ATT_SPECTRAL,CLASS,LVI_CLASS,nominal,,0,
62,DCS_ATT_SPECTRAL,LVI_INDEX,LVI_INDEX,nominal,,0,
63,DCS_ATT_SPECTRAL,BEC_ZONE,LVI_BECZ,nominal,,0,
64,DCS_ATT_SPECTRAL,BEC_SUBZONE,LVI_BECS,nominal,,0,
65,DCS_ATT_SPECTRAL,ELEVATION,LVI_ELEV,continuous,,1,
66,DCS_ATT_SPECTRAL,SLOPE,LVI_SLOPE,continuous,,1,
67,DCS_ATT_SPECTRAL,ASPECT,LVI_ASPECT,continuous,,1,
68,DCS_ATT_SPECTRAL,INVENTORY_STANDARD,LVI_IS,nominal,,0,
69,DCS_ATT_SPECTRAL,PROJECT_NAME,LVI_PROJ,nominal,,0,
70,DCS_ATT_SPECTRAL,DATA_SOURCE,LVI_SOURCE,nominal,,0,
71,DCS_ATT_SPECTRAL,REFERENCE_YEAR,LVI_RYEAR,ordinal,,0,
72,DCS_ATT_SPECTRAL,INPUT_DATE,LVI_IDATE,string,,0,
73,DCS_ATT_SPECTRAL,PROJECTION_DATE,LVI_PDATE,string,,0,
74,DCS_ATT_SPECTRAL,UPDATE_DATE,LVI_UDATE,string,,0,
75,DCS_ATT_SPECTRAL,INTERPRETER,LVI_INTERP,nominal,,0,
76,DCS_ATT_SPECTRAL,MANAGER,LVI_MANAGER,nominal,,0,
77,DCS_ATT_SPECTRAL,MODIFYING_PROCESS_CODE,LVI_MPC,nominal,,0,
78,DCS_ATT_SPECTRAL,SURFACE_EXPRESSION_CODE,LVI_SEC,nominal,,0,
79,DCS_ATT_SPECTRAL,ALPINE_DESIGNATION_CODE,LVI_ADC,nominal,,0,
80,DCS_ATT_SPECTRAL,SITE_POSITION_MESO_CODE,LVI_SPMC,nominal,,0,
81,DCS_ATT_SPECTRAL,DATA_SOURCE_ECOSYS_CLASS_CODE,LVI_SOURCE_ECC,nominal,,0,
82,DCS_ATT_SPECTRAL,SOIL_NUTRIENT_REGIME_CODE,LVI_SNRC,nominal,,0,
