TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,ATTRDEF,ATTRID,,integer,,,
2,ATTRDEF,DATAID,,integer,,,
3,ATTRDEF,ATTRIBUTE,,string,,,
4,ATTRDEF,TABLE,,string,,,
5,ATTRDEF,VALUE,,string,,,
6,ATTRDEF,DESCRIPTION,,string,,,
7,AVI,OBJECTID_1,AVI_OBJECTID_1,integer,,,
8,AVI,Shape,AVI_Shape,float,,,
9,AVI,OBJECTID,AVI_OBJECTID,integer,,,
10,AVI,ID,AVI_ID,float,,,
11,AVI,FORESTKEY,AVI_FORESTKEY,float,,,
12,AVI,POLY_NUM,AVI_POLY_NUM,float,,,
13,AVI,TRM,AVI_TRM,integer,,,
14,AVI,MOIST_REG,AVI_MOIST_REG,string,,,
15,AVI,DENSITY,AVI_DENSITY,string,,,
16,AVI,HEIGHT,AVI_HEIGHT,integer,,,
17,AVI,SP1,AVI_SP1,string,,,
18,AVI,SP1_PER,AVI_SP1_PER,integer,,,
19,AVI,SP2,AVI_SP2,string,,,
20,AVI,SP2_PER,AVI_SP2_PER,integer,,,
21,AVI,SP3,AVI_SP3,string,,,
22,AVI,SP3_PER,AVI_SP3_PER,integer,,,
23,AVI,SP4,AVI_SP4,string,,,
24,AVI,SP4_PER,AVI_SP4_PER,integer,,,
25,AVI,SP5,AVI_SP5,string,,,
26,AVI,SP5_PER,AVI_SP5_PER,integer,,,
27,AVI,STRUC,AVI_STRUC,string,,,
28,AVI,STRUC_VAL,AVI_STRUC_VAL,integer,,,
29,AVI,ORIGIN,AVI_ORIGIN,integer,,,
30,AVI,TPR,AVI_TPR,string,,,
31,AVI,INITIALS,AVI_INITIALS,string,,,
32,AVI,NFL,AVI_NFL,string,,,
33,AVI,NFL_PER,AVI_NFL_PER,integer,,,
34,AVI,NAT_NON,AVI_NAT_NON,string,,,
35,AVI,ANTH_VEG,AVI_ANTH_VEG,string,,,
36,AVI,ANTH_NON,AVI_ANTH_NON,string,,,
37,AVI,MOD1,AVI_MOD1,string,,,
38,AVI,MOD1_EXT,AVI_MOD1_EXT,integer,,,
39,AVI,MOD1_YR,AVI_MOD1_YR,integer,,,
40,AVI,MOD2,AVI_MOD2,string,,,
41,AVI,MOD2_EXT,AVI_MOD2_EXT,integer,,,
42,AVI,MOD2_YR,AVI_MOD2_YR,integer,,,
43,AVI,DATA,AVI_DATA,string,,,
44,AVI,DATA_YR,AVI_DATA_YR,integer,,,
