VARSET3,VARNAMES3,FUNCLABEL3,DFCOEF3
1,VRI_HT_FD,LN1,0.374580119
2,LVI_WETM,LN1,-0.097683479
2,VRI_HT_FD,LN1,-0.362254195
2,LVI_WETM,LN2,0.56304609
2,VRI_HT_FD,LN2,-0.103298703
3,LVI_NDVI73M,LN1,0.00034076
3,LVI_WETM,LN1,-0.08359365
3,VRI_HT_FD,LN1,-0.361650305
3,LVI_NDVI73M,LN2,0.001419149
3,LVI_WETM,LN2,-0.450278329
3,VRI_HT_FD,LN2,0.103915373
3,LVI_NDVI73M,LN3,-0.003841879
3,LVI_WETM,LN3,-0.403853524
3,VRI_HT_FD,LN3,0.024402765
4,LVI_NDVI73M,LN1,0.000341187
4,LVI_WETM,LN1,-0.083689685
4,VRI_BPH_SX,LN1,0.000271383
4,VRI_HT_FD,LN1,-0.361675157
4,LVI_NDVI73M,LN2,-0.001045723
4,LVI_WETM,LN2,0.383252359
4,VRI_BPH_SX,LN2,0.058735548
4,VRI_HT_FD,LN2,-0.096596878
4,LVI_NDVI73M,LN3,-0.003669105
4,LVI_WETM,LN3,-0.157831136
4,VRI_BPH_SX,LN3,-0.078363332
4,VRI_HT_FD,LN3,-0.005724128
4,LVI_NDVI73M,LN4,0.00152423
4,LVI_WETM,LN4,0.456348483
4,VRI_BPH_SX,LN4,-0.11605321
4,VRI_HT_FD,LN4,-0.044864144
5,LVI_NDVI73M,LN1,0.000302788
5,LVI_WETM,LN1,-0.081445361
5,MSxv,LN1,0.101515864
5,VRI_HT_FD,LN1,-0.361477618
5,LVI_NDVI73M,LN2,-0.001742615
5,LVI_WETM,LN2,0.426067679
5,MSxv,LN2,0.64984071
5,VRI_HT_FD,LN2,-0.09383563
5,LVI_NDVI73M,LN3,-0.002707024
5,LVI_WETM,LN3,-0.333640755
5,MSxv,LN3,1.845188525
5,VRI_HT_FD,LN3,0.051864963
5,LVI_NDVI73M,LN4,-0.002626651
5,LVI_WETM,LN4,-0.273999179
5,MSxv,LN4,-1.65495
5,VRI_HT_FD,LN4,-0.005653668
6,LVI_NDVI73M,LN1,0.000303026
6,LVI_WETM,LN1,-0.081495555
6,MSxv,LN1,0.10146451
6,VRI_BPH_SX,LN1,0.000138492
6,VRI_HT_FD,LN1,-0.361490305
6,LVI_NDVI73M,LN2,-0.001300976
6,LVI_WETM,LN2,0.377658987
6,MSxv,LN2,0.455942406
6,VRI_BPH_SX,LN2,0.054617768
6,VRI_HT_FD,LN2,-0.091164161
6,LVI_NDVI73M,LN3,-0.002942749
6,LVI_WETM,LN3,-0.154783731
6,MSxv,LN3,1.798272181
6,VRI_BPH_SX,LN3,-0.060697662
6,VRI_HT_FD,LN3,0.025326512
6,LVI_NDVI73M,LN4,0.000154437
6,LVI_WETM,LN4,0.345206085
6,MSxv,LN4,-0.773969743
6,VRI_BPH_SX,LN4,-0.127317087
6,VRI_HT_FD,LN4,-0.050654721
7,LVI_NDVI73M,LN1,-0.000305257
7,LVI_WETM,LN1,0.082763694
7,MSxv,LN1,-0.107180727
7,VRI_BPH_PL,LN1,0.001443558
7,VRI_BPH_SX,LN1,0.000758069
7,VRI_HT_FD,LN1,0.362172914
7,LVI_NDVI73M,LN2,-0.001317661
7,LVI_WETM,LN2,0.373729683
7,MSxv,LN2,0.481307096
7,VRI_BPH_PL,LN2,-0.00313926
7,VRI_BPH_SX,LN2,0.052118932
7,VRI_HT_FD,LN2,-0.092356165
7,LVI_NDVI73M,LN3,-0.002067027
7,LVI_WETM,LN3,-0.184547717
7,MSxv,LN3,1.628899959
7,VRI_BPH_PL,LN3,-0.076772399
7,VRI_BPH_SX,LN3,-0.098428087
7,VRI_HT_FD,LN3,-0.014704225
7,LVI_NDVI73M,LN4,-0.001390037
7,LVI_WETM,LN4,-0.2897043
7,MSxv,LN4,1.122762025
7,VRI_BPH_PL,LN4,0.057140443
7,VRI_BPH_SX,LN4,0.116410466
7,VRI_HT_FD,LN4,0.076719948
8,LVI_NDVI73M,LN1,-0.000385634
8,LVI_WETM,LN1,0.031201481
8,MSxv,LN1,-0.035300706
8,SBSdw,LN1,2.065704287
8,VRI_BPH_PL,LN1,0.00283957
8,VRI_BPH_SX,LN1,-0.003036225
8,VRI_HT_FD,LN1,0.318679462
8,LVI_NDVI73M,LN2,-0.001276397
8,LVI_WETM,LN2,0.387632311
8,MSxv,LN2,0.440913987
8,SBSdw,LN2,-0.477375668
8,VRI_BPH_PL,LN2,-0.002766621
8,VRI_BPH_SX,LN2,0.053394337
8,VRI_HT_FD,LN2,-0.071553775
8,LVI_NDVI73M,LN3,-0.002103836
8,LVI_WETM,LN3,-0.192183112
8,MSxv,LN3,1.655976801
8,SBSdw,LN3,0.589413914
8,VRI_BPH_PL,LN3,-0.075595862
8,VRI_BPH_SX,LN3,-0.096914545
8,VRI_HT_FD,LN3,-0.038327025
8,LVI_NDVI73M,LN4,-0.001239204
8,LVI_WETM,LN4,-0.292242047
8,MSxv,LN4,1.008539785
8,SBSdw,LN4,2.555593933
8,VRI_BPH_PL,LN4,0.056694229
8,VRI_BPH_SX,LN4,0.107101053
8,VRI_HT_FD,LN4,-0.021477219
9,B4_MEAN,LN1,-0.001835353
9,LVI_NDVI73M,LN1,-0.000393315
9,LVI_WETM,LN1,0.02785054
9,MSxv,LN1,-0.035882684
9,SBSdw,LN1,2.07211275
9,VRI_BPH_SX,LN1,-0.004917951
9,VRI_HT_FD,LN1,0.317348551
9,B4_MEAN,LN2,0.012760948
9,LVI_NDVI73M,LN2,-0.001242078
9,LVI_WETM,LN2,0.386953022
9,MSxv,LN2,0.544642436
9,SBSdw,LN2,-0.51269837
9,VRI_BPH_SX,LN2,0.053683845
9,VRI_HT_FD,LN2,-0.068599055
9,B4_MEAN,LN3,-0.039787864
9,LVI_NDVI73M,LN3,0.002167755
9,LVI_WETM,LN3,0.167691749
9,MSxv,LN3,-1.787364563
9,SBSdw,LN3,-0.66206886
9,VRI_BPH_SX,LN3,0.056540988
9,VRI_HT_FD,LN3,-5.38E-05
9,B4_MEAN,LN4,-0.026419996
9,LVI_NDVI73M,LN4,-0.000730156
9,LVI_WETM,LN4,-0.34299779
9,MSxv,LN4,0.758456398
9,SBSdw,LN4,2.716168451
9,VRI_BPH_SX,LN4,0.099213501
9,VRI_HT_FD,LN4,-0.053338618
10,B5_STDEV,LN1,0.02369929
10,LVI_NDVI73M,LN1,-0.000374076
10,LVI_WETM,LN1,0.03474316
10,MSxv,LN1,-0.031271952
10,SBSdw,LN1,2.068073321
10,VRI_BPH_PL,LN1,0.003149407
10,VRI_BPH_SX,LN1,-0.002532754
10,VRI_HT_FD,LN1,0.318127428
10,B5_STDEV,LN2,-0.253616662
10,LVI_NDVI73M,LN2,0.000962005
10,LVI_WETM,LN2,-0.397304651
10,MSxv,LN2,-0.386596649
10,SBSdw,LN2,0.441070689
10,VRI_BPH_PL,LN2,-0.003718426
10,VRI_BPH_SX,LN2,-0.057944493
10,VRI_HT_FD,LN2,0.072260673
10,B5_STDEV,LN3,0.092826022
10,LVI_NDVI73M,LN3,0.002244884
10,LVI_WETM,LN3,0.164580268
10,MSxv,LN3,-1.659282149
10,SBSdw,LN3,-0.523491733
10,VRI_BPH_PL,LN3,0.076218531
10,VRI_BPH_SX,LN3,0.092620016
