LVI_FCOID,LVI_ELEV,LVI_SLOPE,LVI_ASPECT,LVI_DSPH,LVI_DVPH,LVI_AGE1,LVI_AGE2,LVI_HT1,LVI_HT2,LVI_CCPCT,LVI_CCASINS,LVI_BPH,LVI_ESI,LVI_LSPH,LVI_NPIXELS,B1_MEAN,B1_STDEV,B2_MEAN,B2_STDEV,B3_MEAN,B3_STDEV,B4_MEAN,B4_STDEV,B5_MEAN,B5_STDEV,B7_MEAN,B7_STDEV,LVI_LAIIRM,LVI_LAIIRS,LVI_LAISRM,LVI_LAISRS,LVI_PCA1M,LVI_PCA1S,LVI_PCA2M,LVI_PCA2S,LVI_NDVI35M,LVI_NDVI35S,LVI_NDVI43M,LVI_NDVI43S,LVI_NDVI45M,LVI_NDVI45S,LVI_NDVI73M,LVI_NDVI73S,LVI_BRIGHTM,LVI_BRIGHTS,LVI_GREENM,LVI_GREENS,LVI_WETM,LVI_WETS,LVI_DEMM,LVI_DEMS,LVI_SLOPEM,LVI_SLOPES,LVI_ASPECTM,LVI_ASPECTS,LVI_CENTX,LVI_CENTY,LVI_PROP_AT,LVI_PROP_FD,LVI_PROP_PL,LVI_PROP_SX,LVI_HT_AT,LVI_HT_FD,LVI_HT_PL,LVI_HT_SX,LVI_AGE_AT,LVI_AGE_FD,LVI_AGE_PL,LVI_AGE_SX,ODDS_AT,ODDS_FD,ODDS_PL,ODDS_SX,LODDS_AT,LODDS_FD,LODDS_PL,LODDS_SX,ARCSIN_AT,ARCSIN_FD,ARCSIN_PL,ARCSIN_SX,LVI_BPH_AT,LVI_BPH_FD,LVI_BPH_PL,LVI_BPH_SX,LVI_ESI_AT,LVI_ESI_FD,LVI_ESI_PL,LVI_ESI_SX,SBS,SBPS,MS,SBSmc,SBPSdc,SBPSmk,SBSdc,SBSdw,SBSmk,SBPSmc,MSmc,MSxv,SBPSxv,MSmk,SBPSxc,MSdc,LVI_BECZ,LVI_BECZS,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12,CLASS13,CLASS14,CLASS15,CLASS16,CLASS17,CLASS18,CLASS19,CLASS20,CLASS21,CLASS22,CLASS23,CLASS24,CLASS25,STAGE_ELEV,STAGE_SLOPE,STAGE_COSA,STAGE_SINA,STAGE_SCOSA,STAGE_SSINA,STAGE_LES,STAGE_LESCOSA,STAGE_LESSINA,STAGE_EL2,STAGE_EL2S,STAGE_EL2SCOSA,STAGE_EL2SSINA,VRI_PROP_AT,VRI_PROP_FD,VRI_PROP_PL,VRI_PROP_SX,VRI_HT_AT,VRI_HT_FD,VRI_HT_PL,VRI_HT_SX,VRI_AGE_AT,VRI_AGE_FD,VRI_AGE_PL,VRI_AGE_SX,VRI_BPH_AT,VRI_BPH_FD,VRI_BPH_PL,VRI_BPH_SX,VRI_ESI_AT,VRI_ESI_FD,VRI_ESI_PL,VRI_ESI_SX
204802,1181.618,0.882,-0.971,500,71.3,130,0,18,0,35,0.633,15,11.3,850,34,85.824,1.732,69.647,2.449,55.853,2.449,59.618,2.449,57.971,3.464,121,2.646,7.794,0,14.353,1.732,10.121,5.637,-18.933,1.911,4431.004,172.477,4546.529,188.062,145.155,226.667,4625.651,138.163,25.497,0.975,2.02,0.521,-7.791,0.616,1181.618,1,0.882,0.963,-0.971,0.169,420482.833,5866176.25,0,0,1,0,0,0,18,0,0,0,130,0,0.001,0.001,271.109,0.001,-6.704,-6.704,5.603,-6.704,0,0,1.571,0,0,0,15,0,0,0,11.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SBPS,SBPSmc,0,0,3,3,3,3,3,3,3,3,3,3,3,3,15,15,17,17,17,17,3,3,3,3,1181.618,0.882,0,0,0,0,2.710248836,0,0,1396221.098,1231467.008,0,0,0,0,1,0,0,0,18.1,0,0,0,136,0,0,0,32.028,0,0,0,11.2,0
311299,1247.667,4.2,82.8,100,44.1,130,0,30,0,40,0.685,25,16.83,550,15,77.333,1,62.867,2,40.8,1.732,65.8,10.247,33.2,3.606,89.467,5.099,49.467,21.679,72.933,24.96,-26.293,6.878,4.974,9.541,3377.375,441.363,5971.327,454.484,3246.083,783.236,4017.99,1594.087,21.365,1.739,4.648,1.801,-1.591,1.263,1247.667,1.445,4.2,1.939,82.8,60.874,487555.158,5839682.027,0,0,0,1,0,0,0,30,0,0,0,130,0.001,0.001,0.001,271.109,-6.704,-6.704,-6.704,5.603,0,0,0,1.571,0,0,0,25,0,0,0,16.83,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,2,2,2,5,5,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,13,13,1247.667,4.2,0.125333234,0.002187476,0.526399581,0.009187399,13.00507586,1.629968211,0.028448289,1556672.943,6538026.36,819431.9848,11.46281398,0,0,0,1,0,0,0,24.9,0,0,0,130,0,0,0,24.352,0,0,0,13.1
24580,936.793,7.897,108.793,0,17.192,110,130,24,25,60,0.886,25,16.24,1000,29,84.034,2,65.448,2.646,44.069,2.449,101.103,8.185,41.103,2.646,89.586,2.449,79.31,11.576,105.571,10.583,-5.208,5.691,34.748,7.203,3991.608,306.839,7017.679,262.906,4211.516,246.225,4192.244,825.553,27.719,1.483,10.363,2.482,0.076,0.549,936.793,2.187,7.897,4.139,108.793,102.694,440482.092,5909612.691,0.9,0,0,0.1,24,0,0,25,110,0,0,130,9,0.001,0.001,0.111,2.197,-6.704,-6.704,-2.197,1.12,0,0,0.1,22.5,0,0,2.5,16.24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSdc,1,2,2,2,5,2,7,7,7,7,7,7,7,7,7,7,7,18,18,18,18,18,18,18,936.793,7.897,-0.322150038,-0.005622549,-2.544018849,-0.044401271,23.47072887,-7.561096194,-0.131965328,877581.1248,6930258.143,-2232582.923,-41.59480004,0.8,0,0,0.2,20,0,0,0,110,0,0,0,22.208,0,0,5.552,13,0,0,0
81925,1019.424,8.485,93.576,500,108.792,160,110,24,19,35,0.633,25,9.82,900,33,82.273,1.414,62.273,2.236,42.909,2.236,55.606,3,29.606,1.732,87.848,2.449,41.03,10.392,64.121,12.923,-30.359,2.968,-3.68,3.27,2653.191,346.03,5275.744,309.54,3048.394,429.58,4238.246,791.328,19.673,0.546,2.448,0.736,-1.776,0.575,1019.424,2.775,8.485,7.212,93.576,96.025,439724.694,5893890.97,0,0,0.2,0.8,0,0,19,24,0,0,110,160,0.001,0.001,0.25,4,-6.704,-6.704,-1.386,1.386,0,0,0.201,0.927,0,0,5,20,0,0,0,9.82,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSdc,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,16,16,16,16,16,16,16,16,16,1019.424,8.485,-0.062372462,-0.001088605,-0.529230336,-0.00923681,25.52950394,-1.592338003,-0.027791535,1039225.292,8817826.601,-549989.5508,-9.416225847,0,0,0.9,0.1,0,0,18.6,0,0,0,110,0,0,0,28.355,3.151,0,0,12.8,0
245767,1345.769,7.077,170.846,500,133.7,90,120,19,21,30,0.58,20,12.9,700,26,78.385,1.732,62.423,2.646,45.115,2.449,54.154,4,35.615,2.828,95.654,3.606,23.417,4.796,40.458,7.141,-24.545,5.003,-8.969,3.946,3261.748,331.987,4990.805,292.248,2065.155,393.445,4521.096,231.553,20.397,0.969,2.197,0.707,-3.397,0.64,1345.769,4.003,7.077,2.716,170.846,28.251,448213.661,5857172.041,0,0,0.1,0.9,0,0,21,19,0,0,120,90,0.001,0.001,0.111,9,-6.704,-6.704,-2.197,2.197,0,0,0.1,1.12,0,0,2,18,0,0,0,12.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,9,9,9,9,9,9,9,9,23,1345.769,7.077,-0.987264308,-0.01723016,-6.986869506,-0.121937843,22.14600735,-21.86396261,-0.381579252,1811094.201,12817113.66,-12653878.85,-164.1001691,0,0,0.15,0.85,0,0,0,20.9,0,0,0,162,0,0,5.183,29.369,0,0,0,8.1
196617,990.925,5.7,62.825,600,150.8,80,110,18,21,25,0.524,15,13.75,700,40,82.425,2,63.575,1.732,45.45,1.732,52.075,1,35.55,1.414,95.575,3.606,20.75,2.236,36.65,3.606,-23.527,3.656,-10.993,1.534,3229.377,259.787,4825.597,167.661,1889.643,209.732,4487.735,171.451,19.761,3.2,1.659,0.227,-3.466,0.415,990.925,3.274,5.7,1.819,62.825,14.581,468635.283,5866535.07,0,0,0.2,0.8,0,0,21,18,0,0,110,80,0.001,0.001,0.25,4,-6.704,-6.704,-1.386,1.386,0,0,0.201,0.927,0,0,3,12,0,0,0,13.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSdc,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,990.925,5.7,0.456709802,0.007971005,2.603245874,0.045434731,17.07992937,7.800571167,0.136144209,981932.3556,5597014.427,2556211.353,45.02241042,0,0,1,0,0,0,19,0,0,0,100,0,0,0,29.101,0,0,0,13.7,0
229387,1418.583,8.292,51.333,500,81.329,130,0,17,0,20,0.464,10,10.54,200,24,79.667,1.732,63.333,2.236,47.625,1.732,54.875,5,46.458,1.414,106.542,2.449,12.13,4.359,22.174,7.211,-12.099,2.622,-14.298,5.292,4182.356,203.011,4825.967,354.737,811.464,543.823,4732.038,179.808,22.302,0.675,2.115,0.908,-5.768,0.772,1418.583,3.475,8.292,2.638,51.333,12.756,408007.341,5860410.168,0,0,1,0,0,0,17,0,0,0,130,0,0.001,0.001,271.109,0.001,-6.704,-6.704,5.603,-6.704,0,0,1.571,0,0,0,10,0,0,0,10.54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,0,0,3,3,3,3,3,3,3,3,3,3,3,3,15,15,17,17,17,17,3,3,3,3,1418.583,8.292,0.624793057,0.01090448,5.180784029,0.090419947,26.13771727,16.33066428,0.285018212,2012377.728,16686636.12,10425694.39,128.2681998,0,0,1,0,0,0,17.4,0,0,0,124,0,0,0,34.386,0,0,0,11.1,0
229388,1412.857,4.286,115.571,75,25.696,130,0,18,0,25,0.524,15,11.3,400,7,82.429,2,69.286,3,47.571,1.732,85.429,9.695,49.857,1.732,106.429,2.449,32,9,52.429,12.767,3.972,5.95,12.635,8.313,4473.553,176.539,6322.314,397.928,2592.355,565.47,4731.063,216.491,23.272,9.621,7.501,1.701,-3.617,0.829,1412.857,0.639,4.286,1.161,115.571,77.829,408140.252,5860380.877,0,0,1,0,0,0,18,0,0,0,130,0,0.001,0.001,271.109,0.001,-6.704,-6.704,5.603,-6.704,0,0,1.571,0,0,0,15,0,0,0,11.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1412.857,4.286,-0.431629235,-0.00753328,-1.849962901,-0.032287638,13.50263791,-5.828133274,-0.101719153,1996164.902,8555562.772,-3692831.014,-45.61781574,0,0,1,0,0,0,17.4,0,0,0,124,0,0,0,34.386,0,0,0,11.1,0
229391,1412.625,5.25,109.25,50,21.299,170,130,24,19,30,0.58,20,9.23,500,8,81.75,1.414,61.5,1.732,47.25,1.732,57.75,5.385,42.625,3.742,100.125,3.317,17.75,6.708,31.75,10.724,-16.283,4.131,-8.821,5.603,3836.919,323.688,5043.104,429.36,1499.405,680.638,4518.558,156.702,22.063,0.902,2.705,1.04,-4.488,1.002,1412.625,1.409,5.25,2.681,109.25,93.001,408225.186,5860343.62,0,0,0.4,0.6,0,0,19,24,0,0,130,170,0.001,0.001,0.667,1.5,-6.704,-6.704,-0.405,0.405,0,0,0.412,0.644,0,0,8,12,0,0,0,9.23,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,MS,MSxv,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1412.625,5.25,-0.329690645,-0.005754156,-1.730875888,-0.030209316,16.53925464,-5.452837534,-0.095169443,1995509.391,10476424.3,-3453979.088,-42.67443568,0,0,1,0,0,0,17.4,0,0,0,124,0,0,0,34.386,0,0,0,11.1,0
81937,1046.071,13,74.857,900,182.072,110,130,18,20,30,0.58,20,12.3,600,28,82.929,1.732,62.5,2.236,44.143,2,55.714,3.162,32.679,3.317,92.143,3.742,31.786,6.856,52.393,9.22,-25.889,5.024,-5.839,2.43,2958.274,442.453,5181.23,237.096,2620.301,363.32,4457.875,206.674,20.258,0.957,2.418,0.591,-2.504,0.591,1046.071,9.188,13,5.064,74.857,21.717,439501.998,5893870.862,0,0,0.85,0.15,0,0,18,20,0,0,110,130,0.001,0.001,5.667,0.176,-6.704,-6.704,1.735,-1.735,0,0,1.016,0.151,0,0,17,3,0,0,12.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SBPS,SBPSdc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1046.071,13,0.261229014,0.004559291,3.395977186,0.059270778,39.25968971,10.25577004,0.178996334,1094264.537,14225438.98,3716097.403,62.00144187,0,0,0.9,0.1,0,0,18.6,0,0,0,110,0,0,0,28.355,3.151,0,0,12.8,0
