TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,VARSELECT,UID,UID,integer,-1,1,R output file
2,VARSELECT,MODELID,MODELID,integer,-1,1,R output file
3,VARSELECT,SOLTYPE,SOLTYPE,integer,-1,1,R output file
4,VARSELECT,SOLNUM,SOLNUM,integer,-1,1,R output file
5,VARSELECT,KVAR,KVAR,integer,-1,1,R output file
6,VARSELECT,VARNUM,VARNUM,integer,-1,1,R output file
7,VARSELECT,VARNAME,VARNAME,string,-1,1,R output file
8,XVARSELV1,TVID,TVID,integer,,1,
9,XVARSELV1,VARNAME,VARNAME,string,,1,
10,XVARSELV1,XVARSEL,XVARSEL,string,,1,X if X-variable - Y if Y-variable - otherwise N (not X or Y)
11,CTABULATION,VARSET,VARSET,integer,-1,1,The R variable set number
12,CTABULATION,REFCLASS,REFCLASS,integer,-1,1,Actual class assigned to observation originally
13,CTABULATION,PREDCLASS,PREDCLASS,integer,-1,1,Predicted class assigned to observation
14,CTABULATION,CTAB,CTAB,integer,-1,1,Number of observations assigned to both REFCLASS and PREDCLASS
15,MINMAXCOR,VARSET,VARSET,integer,-1,1,The R variable set number
16,MINMAXCOR,VARNO,VARNO,integer,-1,1,The number of variables included in the variable set
17,MINMAXCOR,MAXCOR,MAXCOR,float,-1,1,Maximum correlation coefficient amongst all pairs of variables
18,MINMAXCOR,MINCOR,MINCOR,float,-1,1,Minimum correlation coefficient amongst all pairs of variables
19,POSTERIOR,VARSET,VARSET,integer,-1,1,The R variable set number
20,POSTERIOR,NVAR,NVAR,integer,-1,1,The number of variables included in the variable set
21,POSTERIOR,UERROR,UERROR,float,-1,1,Posterior error of estimation
22,CTABSUM,VARSET,VARSET,integer,-1,1,The R variable set number
23,CTABSUM,OA,OA,float,-1,1,Overall error percent
24,CTABSUM,KHAT,KHAT,float,-1,1,Cohen's 1960 KHAT statistic
25,CTABSUM,MINPA,MINPA,float,-1,1,Minimum producer's classification success rate (1-omission error)
26,CTABSUM,MAXPA,MAXPA,float,-1,1,Maximum producer's  classification success rate (1-omission error)
27,CTABSUM,MINUA,MINUA,float,-1,1,Minimum user's classification success rate (1-comission error)
28,CTABSUM,MAXUA,MAXUA,float,-1,1,Maximum user's classification success rate (1-omission error)
29,DFUNCT,VARSET3,VARSET3,integer,,1,This corresponds to a system of classification and provides a key link with VARSET in the tables above.
30,DFUNCT,VARNAMES3,VARNAMES3,string,,1,These are the actual variable names used in the equations to classify a given object or establish a nearest neighbour
31,DFUNCT,FUNCLABEL3,FUNCLABEL3,string,,1,These are labels to identify each unique discriminant function within a a VARSET3
32,DFUNCT,DFCOEF3,DFCOEF3,float,,1,These are the coefficients assigned to each variable name within each dscriminant function for a given variable set
33,BWRATIO,VARSET4,VARSET4,integer,,1,This corresponds to a system of classification and provides a key link with VARSET3 in the DFUNC table
34,BWRATIO,FUNCLABEL4,FUNCLABEL4,string,,1,This corrsponds with FUNCLABEL3 in the DFUNC table
35,BWRATIO,BTWTWCR4,BTWTWCR4,float,,1,Between to with variance ratios (sqrt of eigen values associated with each discriminant function)
36,LVINEW,LVI_FCOID,LVI_FCOID,integer,,0,
37,LVINEW,LVI_ELEV,LVI_ELEV,continuous,,0,
38,LVINEW,LVI_SLOPE,LVI_SLOPE,continuous,,0,
39,LVINEW,LVI_ASPECT,LVI_ASPECT,continuous,,0,
40,LVINEW,LVI_DSPH,LVI_DSPH,continuous,,0,
41,LVINEW,LVI_DVPH,LVI_DVPH,continuous,,1,
42,LVINEW,LVI_AGE1,LVI_AGE1,continuous,,0,
43,LVINEW,LVI_AGE2,LVI_AGE2,continuous,,0,
44,LVINEW,LVI_HT1,LVI_HT1,continuous,,0,
45,LVINEW,LVI_HT2,LVI_HT2,continuous,,0,
46,LVINEW,LVI_CCPCT,LVI_CCPCT,continuous,,0,
47,LVINEW,LVI_CCASINS,LVI_CCASINS,continuous,,0,
48,LVINEW,LVI_BPH,LVI_BPH,continuous,,0,
49,LVINEW,LVI_ESI,LVI_ESI,continuous,,0,
50,LVINEW,LVI_LSPH,LVI_LSPH,continuous,,0,
51,LVINEW,LVI_NPIXELS,LVI_NPIXELS,count,,0,
52,LVINEW,B1_MEAN,B1_MEAN,continuous,,0,
53,LVINEW,B1_STDEV,B1_STDEV,continuous,,0,
54,LVINEW,B2_MEAN,B2_MEAN,continuous,,0,
55,LVINEW,B2_STDEV,B2_STDEV,continuous,,0,
56,LVINEW,B3_MEAN,B3_MEAN,continuous,,0,
57,LVINEW,B3_STDEV,B3_STDEV,continuous,,0,
58,LVINEW,B4_MEAN,B4_MEAN,continuous,,0,
59,LVINEW,B4_STDEV,B4_STDEV,continuous,,0,
60,LVINEW,B5_MEAN,B5_MEAN,continuous,,0,
61,LVINEW,B5_STDEV,B5_STDEV,continuous,,0,
62,LVINEW,B7_MEAN,B7_MEAN,continuous,,0,
63,LVINEW,B7_STDEV,B7_STDEV,continuous,,0,
64,LVINEW,LVI_LAIIRM,LVI_LAIIRM,continuous,,0,
65,LVINEW,LVI_LAIIRS,LVI_LAIIRS,continuous,,0,
66,LVINEW,LVI_LAISRM,LVI_LAISRM,continuous,,0,
67,LVINEW,LVI_LAISRS,LVI_LAISRS,continuous,,0,
68,LVINEW,LVI_PCA1M,LVI_PCA1M,continuous,,0,
69,LVINEW,LVI_PCA1S,LVI_PCA1S,continuous,,0,
