TVID,VARNAME,XVARSEL
1,LVI_ELEV,X
2,LVI_SLOPE,X
3,LVI_ASPECT,N
4,LVI_DSPH,N
5,LVI_DVPH,Y
6,LVI_AGE1,N
7,LVI_AGE2,N
8,LVI_HT1,N
9,LVI_HT2,N
10,LVI_CCPCT,N
11,LVI_CCASINS,N
12,LVI_BPH,N
13,LVI_ESI,N
14,LVI_LSPH,N
15,LVI_NPIXELS,N
16,B1_MEAN,X
17,B1_STDEV,X
18,B2_MEAN,N
19,B2_STDEV,N
20,B3_MEAN,N
21,B3_STDEV,X
22,B4_MEAN,X
23,B4_STDEV,N
24,B5_MEAN,N
25,B5_STDEV,X
26,B7_MEAN,X
27,B7_STDEV,X
28,LVI_LAIIRM,N
29,LVI_LAIIRS,N
30,LVI_LAISRM,N
31,LVI_LAISRS,X
32,LVI_PCA1M,N
33,LVI_PCA1S,X
34,LVI_PCA2M,N
35,LVI_PCA2S,N
36,LVI_NDVI35M,N
37,LVI_NDVI35S,X
38,LVI_NDVI43M,X
39,LVI_NDVI43S,X
40,LVI_NDVI45M,N
41,LVI_NDVI45S,X
42,LVI_NDVI73M,X
43,LVI_NDVI73S,X
44,LVI_BRIGHTM,X
45,LVI_BRIGHTS,X
46,LVI_GREENM,N
47,LVI_GREENS,X
48,LVI_WETM,X
49,LVI_WETS,X
50,LVI_DEMM,N
51,LVI_DEMS,N
52,LVI_SLOPEM,N
53,LVI_SLOPES,N
54,LVI_ASPECTM,N
55,LVI_ASPECTS,N
56,LVI_CENTX,X
57,LVI_CENTY,X
58,LVI_PROP_AT,N
59,LVI_PROP_FD,N
60,LVI_PROP_PL,N
61,LVI_PROP_SX,N
62,LVI_HT_AT,Y
63,LVI_HT_FD,Y
64,LVI_HT_PL,Y
65,LVI_HT_SX,Y
66,LVI_AGE_AT,Y
67,LVI_AGE_FD,Y
68,LVI_AGE_PL,Y
69,LVI_AGE_SX,Y
70,ODDS_AT,N
71,ODDS_FD,N
72,ODDS_PL,N
73,ODDS_SX,N
74,LODDS_AT,N
75,LODDS_FD,N
76,LODDS_PL,N
77,LODDS_SX,N
78,ARCSIN_AT,N
79,ARCSIN_FD,N
80,ARCSIN_PL,N
81,ARCSIN_SX,N
82,LVI_BPH_AT,Y
83,LVI_BPH_FD,Y
84,LVI_BPH_PL,Y
85,LVI_BPH_SX,Y
86,LVI_ESI_AT,Y
87,LVI_ESI_FD,Y
88,LVI_ESI_PL,Y
89,LVI_ESI_SX,Y
90,SBS,N
91,SBPS,N
92,MS,N
93,SBSmc,X
94,SBPSdc,N
95,SBPSmk,X
96,SBSdc,X
97,SBSdw,X
98,SBSmk,X
99,SBPSmc,X
100,MSmc,X
101,MSxv,X
102,SBPSxv,X
103,MSmk,X
104,SBPSxc,X
105,MSdc,X
106,CLASS1,N
107,CLASS2,N
108,CLASS3,N
109,CLASS4,N
110,CLASS5,N
111,CLASS6,N
112,CLASS7,N
113,CLASS8,N
114,CLASS9,N
115,CLASS10,N
116,CLASS11,N
117,CLASS12,N
118,CLASS13,N
119,CLASS14,N
120,CLASS15,N
121,CLASS16,N
122,CLASS17,N
123,CLASS18,N
124,CLASS19,N
125,CLASS20,N
126,LVI_BECZ,N
127,LVI_BECZS,N
128,STAGE_ELEV,N
129,STAGE_SLOPE,N
130,STAGE_COSA,N
131,STAGE_SINA,N
132,STAGE_SCOSA,N
133,STAGE_SSINA,N
134,STAGE_LES,N
135,STAGE_LESCOSA,N
136,STAGE_LESSINA,N
137,STAGE_EL2,N
138,STAGE_EL2S,N
139,STAGE_EL2SCOSA,N
140,STAGE_EL2SSINA,N
141,VRI_PROP_AT,N
142,VRI_PROP_FD,N
143,VRI_PROP_PL,N
144,VRI_PROP_SX,N
145,VRI_HT_AT,X
146,VRI_HT_FD,X
147,VRI_HT_PL,X
148,VRI_HT_SX,N
149,VRI_AGE_AT,N
150,VRI_AGE_FD,N
151,VRI_AGE_PL,N
152,VRI_AGE_SX,X
153,VRI_BPH_AT,N
154,VRI_BPH_FD,N
155,VRI_BPH_PL,X
156,VRI_BPH_SX,X
157,VRI_ESI_AT,N
158,VRI_ESI_FD,N
159,VRI_ESI_PL,N
160,VRI_ESI_SX,N
