"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"1","1","1","1","1","16","DEN_BLDA"
"2","2","1","2","1","16","DEN_BLDA"
"3","3","1","3","1","16","DEN_BLDA"
"4","4","1","4","1","16","DEN_BLDA"
"5","5","1","5","1","16","DEN_BLDA"
"6","6","1","6","1","16","DEN_BLDA"
"7","7","1","7","1","16","DEN_BLDA"
"8","8","1","8","1","16","DEN_BLDA"
"9","9","1","9","1","16","DEN_BLDA"
"10","10","1","10","1","16","DEN_BLDA"
"11","11","2","1","1","6","AGE_SAN2"
"12","11","2","1","2","16","DEN_BLDA"
"13","12","2","2","1","6","AGE_SAN2"
"14","12","2","2","2","16","DEN_BLDA"
"15","13","2","3","1","6","AGE_SAN2"
"16","13","2","3","2","16","DEN_BLDA"
"17","14","2","4","1","6","AGE_SAN2"
"18","14","2","4","2","16","DEN_BLDA"
"19","15","2","5","1","6","AGE_SAN2"
"20","15","2","5","2","16","DEN_BLDA"
"21","16","2","6","1","6","AGE_SAN2"
"22","16","2","6","2","16","DEN_BLDA"
"23","17","2","7","1","6","AGE_SAN2"
"24","17","2","7","2","16","DEN_BLDA"
"25","18","2","8","1","6","AGE_SAN2"
"26","18","2","8","2","16","DEN_BLDA"
"27","19","2","9","1","6","AGE_SAN2"
"28","19","2","9","2","16","DEN_BLDA"
"29","20","2","10","1","6","AGE_SAN2"
"30","20","2","10","2","16","DEN_BLDA"
"31","21","3","1","1","6","AGE_SAN2"
"32","21","3","1","2","16","DEN_BLDA"
"33","21","3","1","3","53","PDITC_500"
"34","22","3","2","1","6","AGE_SAN2"
"35","22","3","2","2","16","DEN_BLDA"
"36","22","3","2","3","53","PDITC_500"
"37","23","3","3","1","6","AGE_SAN2"
"38","23","3","3","2","16","DEN_BLDA"
"39","23","3","3","3","53","PDITC_500"
"40","24","3","4","1","6","AGE_SAN2"
"41","24","3","4","2","16","DEN_BLDA"
"42","24","3","4","3","53","PDITC_500"
"43","25","3","5","1","6","AGE_SAN2"
"44","25","3","5","2","16","DEN_BLDA"
"45","25","3","5","3","53","PDITC_500"
"46","26","3","6","1","6","AGE_SAN2"
"47","26","3","6","2","16","DEN_BLDA"
"48","26","3","6","3","53","PDITC_500"
"49","27","3","7","1","6","AGE_SAN2"
"50","27","3","7","2","16","DEN_BLDA"
"51","27","3","7","3","53","PDITC_500"
"52","28","3","8","1","6","AGE_SAN2"
"53","28","3","8","2","16","DEN_BLDA"
"54","28","3","8","3","53","PDITC_500"
"55","29","3","9","1","6","AGE_SAN2"
"56","29","3","9","2","16","DEN_BLDA"
"57","29","3","9","3","53","PDITC_500"
"58","30","3","10","1","6","AGE_SAN2"
"59","30","3","10","2","16","DEN_BLDA"
"60","30","3","10","3","53","PDITC_500"
"61","31","4","1","1","6","AGE_SAN2"
"62","31","4","1","2","16","DEN_BLDA"
"63","31","4","1","3","45","PCNT_R2"
"64","31","4","1","4","53","PDITC_500"
"65","32","4","2","1","6","AGE_SAN2"
"66","32","4","2","2","16","DEN_BLDA"
"67","32","4","2","3","45","PCNT_R2"
"68","32","4","2","4","53","PDITC_500"
"69","33","4","3","1","6","AGE_SAN2"
"70","33","4","3","2","16","DEN_BLDA"
"71","33","4","3","3","37","PCNT_CIO"
"72","33","4","3","4","53","PDITC_500"
"73","34","4","4","1","6","AGE_SAN2"
"74","34","4","4","2","16","DEN_BLDA"
"75","34","4","4","3","45","PCNT_R2"
"76","34","4","4","4","53","PDITC_500"
"77","35","4","5","1","6","AGE_SAN2"
"78","35","4","5","2","16","DEN_BLDA"
"79","35","4","5","3","45","PCNT_R2"
"80","35","4","5","4","53","PDITC_500"
"81","36","4","6","1","6","AGE_SAN2"
"82","36","4","6","2","16","DEN_BLDA"
"83","36","4","6","3","45","PCNT_R2"
"84","36","4","6","4","53","PDITC_500"
"85","37","4","7","1","6","AGE_SAN2"
"86","37","4","7","2","16","DEN_BLDA"
"87","37","4","7","3","45","PCNT_R2"
"88","37","4","7","4","53","PDITC_500"
"89","38","4","8","1","6","AGE_SAN2"
"90","38","4","8","2","16","DEN_BLDA"
"91","38","4","8","3","45","PCNT_R2"
"92","38","4","8","4","53","PDITC_500"
"93","39","4","9","1","6","AGE_SAN2"
"94","39","4","9","2","16","DEN_BLDA"
"95","39","4","9","3","37","PCNT_CIO"
"96","39","4","9","4","53","PDITC_500"
"97","40","4","10","1","6","AGE_SAN2"
"98","40","4","10","2","16","DEN_BLDA"
"99","40","4","10","3","45","PCNT_R2"
"100","40","4","10","4","53","PDITC_500"
"101","41","5","1","1","6","AGE_SAN2"
"102","41","5","1","2","16","DEN_BLDA"
"103","41","5","1","3","19","DEN_ROAD"
"104","41","5","1","4","37","PCNT_CIO"
"105","41","5","1","5","53","PDITC_500"
"106","42","5","2","1","6","AGE_SAN2"
"107","42","5","2","2","16","DEN_BLDA"
"108","42","5","2","3","19","DEN_ROAD"
"109","42","5","2","4","37","PCNT_CIO"
"110","42","5","2","5","53","PDITC_500"
"111","43","5","3","1","6","AGE_SAN2"
"112","43","5","3","2","13","DEM_mean"
"113","43","5","3","3","16","DEN_BLDA"
"114","43","5","3","4","45","PCNT_R2"
"115","43","5","3","5","53","PDITC_500"
"116","44","5","4","1","6","AGE_SAN2"
"117","44","5","4","2","13","DEM_mean"
"118","44","5","4","3","16","DEN_BLDA"
"119","44","5","4","4","45","PCNT_R2"
"120","44","5","4","5","53","PDITC_500"
"121","45","5","5","1","6","AGE_SAN2"
"122","45","5","5","2","16","DEN_BLDA"
"123","45","5","5","3","19","DEN_ROAD"
"124","45","5","5","4","37","PCNT_CIO"
"125","45","5","5","5","53","PDITC_500"
"126","46","5","6","1","6","AGE_SAN2"
"127","46","5","6","2","16","DEN_BLDA"
"128","46","5","6","3","19","DEN_ROAD"
"129","46","5","6","4","37","PCNT_CIO"
"130","46","5","6","5","53","PDITC_500"
"131","47","5","7","1","6","AGE_SAN2"
"132","47","5","7","2","16","DEN_BLDA"
"133","47","5","7","3","19","DEN_ROAD"
"134","47","5","7","4","37","PCNT_CIO"
"135","47","5","7","5","53","PDITC_500"
"136","48","5","8","1","6","AGE_SAN2"
"137","48","5","8","2","16","DEN_BLDA"
"138","48","5","8","3","19","DEN_ROAD"
"139","48","5","8","4","37","PCNT_CIO"
"140","48","5","8","5","53","PDITC_500"
"141","49","5","9","1","6","AGE_SAN2"
"142","49","5","9","2","16","DEN_BLDA"
"143","49","5","9","3","19","DEN_ROAD"
"144","49","5","9","4","37","PCNT_CIO"
"145","49","5","9","5","53","PDITC_500"
"146","50","5","10","1","6","AGE_SAN2"
"147","50","5","10","2","16","DEN_BLDA"
"148","50","5","10","3","19","DEN_ROAD"
"149","50","5","10","4","37","PCNT_CIO"
"150","50","5","10","5","53","PDITC_500"
"151","51","6","1","1","6","AGE_SAN2"
"152","51","6","1","2","16","DEN_BLDA"
"153","51","6","1","3","19","DEN_ROAD"
"154","51","6","1","4","26","DIA_SAN1"
"155","51","6","1","5","37","PCNT_CIO"
"156","51","6","1","6","53","PDITC_500"
"157","52","6","2","1","6","AGE_SAN2"
"158","52","6","2","2","16","DEN_BLDA"
"159","52","6","2","3","19","DEN_ROAD"
"160","52","6","2","4","26","DIA_SAN1"
"161","52","6","2","5","37","PCNT_CIO"
"162","52","6","2","6","53","PDITC_500"
"163","53","6","3","1","6","AGE_SAN2"
"164","53","6","3","2","9","AGE_STR1"
"165","53","6","3","3","16","DEN_BLDA"
"166","53","6","3","4","26","DIA_SAN1"
"167","53","6","3","5","45","PCNT_R2"
"168","53","6","3","6","53","PDITC_500"
"169","54","6","4","1","6","AGE_SAN2"
"170","54","6","4","2","16","DEN_BLDA"
"171","54","6","4","3","19","DEN_ROAD"
"172","54","6","4","4","26","DIA_SAN1"
"173","54","6","4","5","37","PCNT_CIO"
"174","54","6","4","6","53","PDITC_500"
"175","55","6","5","1","6","AGE_SAN2"
"176","55","6","5","2","16","DEN_BLDA"
"177","55","6","5","3","19","DEN_ROAD"
"178","55","6","5","4","26","DIA_SAN1"
"179","55","6","5","5","37","PCNT_CIO"
"180","55","6","5","6","53","PDITC_500"
"181","56","6","6","1","6","AGE_SAN2"
"182","56","6","6","2","16","DEN_BLDA"
"183","56","6","6","3","19","DEN_ROAD"
"184","56","6","6","4","26","DIA_SAN1"
"185","56","6","6","5","37","PCNT_CIO"
"186","56","6","6","6","53","PDITC_500"
"187","57","6","7","1","6","AGE_SAN2"
"188","57","6","7","2","16","DEN_BLDA"
"189","57","6","7","3","19","DEN_ROAD"
"190","57","6","7","4","26","DIA_SAN1"
"191","57","6","7","5","37","PCNT_CIO"
"192","57","6","7","6","53","PDITC_500"
"193","58","6","8","1","6","AGE_SAN2"
"194","58","6","8","2","16","DEN_BLDA"
"195","58","6","8","3","19","DEN_ROAD"
"196","58","6","8","4","26","DIA_SAN1"
"197","58","6","8","5","37","PCNT_CIO"
"198","58","6","8","6","53","PDITC_500"
"199","59","6","9","1","6","AGE_SAN2"
"200","59","6","9","2","9","AGE_STR1"
"201","59","6","9","3","16","DEN_BLDA"
"202","59","6","9","4","26","DIA_SAN1"
"203","59","6","9","5","45","PCNT_R2"
"204","59","6","9","6","53","PDITC_500"
"205","60","6","10","1","6","AGE_SAN2"
"206","60","6","10","2","16","DEN_BLDA"
"207","60","6","10","3","19","DEN_ROAD"
"208","60","6","10","4","37","PCNT_CIO"
"209","60","6","10","5","53","PDITC_500"
"210","60","6","10","6","97","SLP_STR1"
"211","61","7","1","1","6","AGE_SAN2"
"212","61","7","1","2","14","DEM_stdd"
"213","61","7","1","3","16","DEN_BLDA"
"214","61","7","1","4","26","DIA_SAN1"
"215","61","7","1","5","45","PCNT_R2"
"216","61","7","1","6","53","PDITC_500"
"217","61","7","1","7","97","SLP_STR1"
"218","62","7","2","1","6","AGE_SAN2"
"219","62","7","2","2","9","AGE_STR1"
"220","62","7","2","3","14","DEM_stdd"
"221","62","7","2","4","16","DEN_BLDA"
"222","62","7","2","5","26","DIA_SAN1"
"223","62","7","2","6","45","PCNT_R2"
"224","62","7","2","7","53","PDITC_500"
"225","63","7","3","1","6","AGE_SAN2"
"226","63","7","3","2","9","AGE_STR1"
"227","63","7","3","3","14","DEM_stdd"
"228","63","7","3","4","16","DEN_BLDA"
"229","63","7","3","5","26","DIA_SAN1"
"230","63","7","3","6","45","PCNT_R2"
"231","63","7","3","7","53","PDITC_500"
"232","64","7","4","1","6","AGE_SAN2"
"233","64","7","4","2","9","AGE_STR1"
"234","64","7","4","3","14","DEM_stdd"
"235","64","7","4","4","16","DEN_BLDA"
"236","64","7","4","5","26","DIA_SAN1"
"237","64","7","4","6","45","PCNT_R2"
"238","64","7","4","7","53","PDITC_500"
"239","65","7","5","1","6","AGE_SAN2"
"240","65","7","5","2","9","AGE_STR1"
"241","65","7","5","3","14","DEM_stdd"
"242","65","7","5","4","16","DEN_BLDA"
"243","65","7","5","5","26","DIA_SAN1"
"244","65","7","5","6","45","PCNT_R2"
"245","65","7","5","7","53","PDITC_500"
"246","66","7","6","1","6","AGE_SAN2"
"247","66","7","6","2","9","AGE_STR1"
"248","66","7","6","3","14","DEM_stdd"
"249","66","7","6","4","16","DEN_BLDA"
"250","66","7","6","5","26","DIA_SAN1"
"251","66","7","6","6","45","PCNT_R2"
"252","66","7","6","7","53","PDITC_500"
"253","67","7","7","1","6","AGE_SAN2"
"254","67","7","7","2","9","AGE_STR1"
"255","67","7","7","3","16","DEN_BLDA"
"256","67","7","7","4","19","DEN_ROAD"
"257","67","7","7","5","26","DIA_SAN1"
"258","67","7","7","6","37","PCNT_CIO"
"259","67","7","7","7","53","PDITC_500"
"260","68","7","8","1","6","AGE_SAN2"
"261","68","7","8","2","9","AGE_STR1"
"262","68","7","8","3","14","DEM_stdd"
"263","68","7","8","4","16","DEN_BLDA"
"264","68","7","8","5","26","DIA_SAN1"
"265","68","7","8","6","45","PCNT_R2"
"266","68","7","8","7","53","PDITC_500"
"267","69","7","9","1","6","AGE_SAN2"
"268","69","7","9","2","9","AGE_STR1"
"269","69","7","9","3","14","DEM_stdd"
"270","69","7","9","4","16","DEN_BLDA"
"271","69","7","9","5","26","DIA_SAN1"
"272","69","7","9","6","45","PCNT_R2"
"273","69","7","9","7","53","PDITC_500"
"274","70","7","10","1","6","AGE_SAN2"
"275","70","7","10","2","9","AGE_STR1"
"276","70","7","10","3","14","DEM_stdd"
"277","70","7","10","4","16","DEN_BLDA"
"278","70","7","10","5","26","DIA_SAN1"
"279","70","7","10","6","45","PCNT_R2"
"280","70","7","10","7","53","PDITC_500"
"281","71","8","1","1","6","AGE_SAN2"
"282","71","8","1","2","9","AGE_STR1"
"283","71","8","1","3","14","DEM_stdd"
"284","71","8","1","4","16","DEN_BLDA"
"285","71","8","1","5","26","DIA_SAN1"
"286","71","8","1","6","38","PCNT_COM"
"287","71","8","1","7","45","PCNT_R2"
"288","71","8","1","8","53","PDITC_500"
"289","72","8","2","1","6","AGE_SAN2"
"290","72","8","2","2","14","DEM_stdd"
"291","72","8","2","3","16","DEN_BLDA"
"292","72","8","2","4","26","DIA_SAN1"
"293","72","8","2","5","38","PCNT_COM"
"294","72","8","2","6","45","PCNT_R2"
"295","72","8","2","7","53","PDITC_500"
"296","72","8","2","8","97","SLP_STR1"
"297","73","8","3","1","6","AGE_SAN2"
"298","73","8","3","2","9","AGE_STR1"
"299","73","8","3","3","14","DEM_stdd"
"300","73","8","3","4","16","DEN_BLDA"
"301","73","8","3","5","26","DIA_SAN1"
"302","73","8","3","6","38","PCNT_COM"
"303","73","8","3","7","45","PCNT_R2"
"304","73","8","3","8","53","PDITC_500"
"305","74","8","4","1","6","AGE_SAN2"
"306","74","8","4","2","9","AGE_STR1"
"307","74","8","4","3","14","DEM_stdd"
"308","74","8","4","4","16","DEN_BLDA"
"309","74","8","4","5","26","DIA_SAN1"
"310","74","8","4","6","38","PCNT_COM"
"311","74","8","4","7","45","PCNT_R2"
"312","74","8","4","8","53","PDITC_500"
"313","75","8","5","1","6","AGE_SAN2"
"314","75","8","5","2","9","AGE_STR1"
"315","75","8","5","3","14","DEM_stdd"
"316","75","8","5","4","16","DEN_BLDA"
"317","75","8","5","5","26","DIA_SAN1"
"318","75","8","5","6","38","PCNT_COM"
"319","75","8","5","7","45","PCNT_R2"
"320","75","8","5","8","53","PDITC_500"
"321","76","8","6","1","6","AGE_SAN2"
"322","76","8","6","2","9","AGE_STR1"
"323","76","8","6","3","16","DEN_BLDA"
"324","76","8","6","4","19","DEN_ROAD"
"325","76","8","6","5","26","DIA_SAN1"
"326","76","8","6","6","37","PCNT_CIO"
"327","76","8","6","7","41","PCNT_INS"
"328","76","8","6","8","53","PDITC_500"
"329","77","8","7","1","6","AGE_SAN2"
"330","77","8","7","2","9","AGE_STR1"
"331","77","8","7","3","14","DEM_stdd"
"332","77","8","7","4","16","DEN_BLDA"
"333","77","8","7","5","26","DIA_SAN1"
"334","77","8","7","6","38","PCNT_COM"
"335","77","8","7","7","45","PCNT_R2"
"336","77","8","7","8","53","PDITC_500"
"337","78","8","8","1","6","AGE_SAN2"
"338","78","8","8","2","9","AGE_STR1"
"339","78","8","8","3","14","DEM_stdd"
"340","78","8","8","4","16","DEN_BLDA"
"341","78","8","8","5","26","DIA_SAN1"
"342","78","8","8","6","38","PCNT_COM"
"343","78","8","8","7","45","PCNT_R2"
"344","78","8","8","8","53","PDITC_500"
"345","79","8","9","1","6","AGE_SAN2"
"346","79","8","9","2","9","AGE_STR1"
"347","79","8","9","3","14","DEM_stdd"
"348","79","8","9","4","16","DEN_BLDA"
"349","79","8","9","5","26","DIA_SAN1"
"350","79","8","9","6","38","PCNT_COM"
