UID,FLDP,OPIP,SAGESAND7,SAGESTRD1,SDENSAN,SDIASTRD7,SPDIASTR2,ZSCORE,ZTRANS,ODDS,p
1.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
2.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
3.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
4.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
5.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
6.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
7.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
8.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
9.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
10.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
11.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
12.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
13.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
14.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
15.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
16.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
17.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
18.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
19.000,0,0,0.000,0.000,0.003,0.000,0,-0.133,0.523,2.180,0.686
20.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
21.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
22.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
23.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
24.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
25.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
26.000,0,0,0.000,0.000,0.001,0.000,0,-0.055,0.533,2.491,0.714
27.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
28.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
29.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
30.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
31.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
32.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
33.000,0,0,0.000,0.000,0.003,0.000,0,-0.119,0.524,2.232,0.691
34.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
35.000,0,0,0.000,0.000,8.474,0.000,0,-4.183,0.000,0.000,0.000
36.000,0,0,0.000,0.000,0.004,0.000,0,-0.195,0.515,1.957,0.662
37.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
38.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
39.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
40.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
41.000,0,0,0.000,0.000,0.000,0.000,1,0.814,0.645,9.521,0.905
42.000,0,0,0.000,0.000,3.321,0.000,0,-4.183,0.000,0.000,0.000
43.000,0,0,0.000,0.000,0.008,0.000,0,-0.362,0.493,1.450,0.592
44.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
45.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
46.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
47.000,0,1,0.000,0.000,0.000,0.000,1,2.282,0.834,57.933,0.983
48.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
49.000,0,0,0.000,0.000,0.008,0.000,0,-0.344,0.495,1.498,0.600
50.000,0,0,0.000,0.000,0.050,0.000,0,-2.212,0.254,0.014,0.014
51.000,0,0,0.000,0.000,0.031,0.001,1,-0.510,0.474,1.099,0.524
52.000,0,0,0.000,0.000,0.001,0.000,0,-0.049,0.533,2.516,0.716
53.000,0,0,0.000,0.000,0.024,0.000,0,-1.049,0.404,0.361,0.265
54.000,0,0,0.000,0.000,0.006,0.000,0,-0.264,0.506,1.732,0.634
55.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
56.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
57.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
58.000,0,1,0.000,0.000,0.006,0.000,1,2.030,0.801,43.827,0.978
59.000,0,0,0.000,0.000,0.868,0.000,0,-4.183,0.000,0.000,0.000
60.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
61.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
62.000,0,0,0.000,0.000,0.007,0.000,0,-0.292,0.502,1.645,0.622
63.000,0,0,0.000,0.000,0.034,0.000,0,-1.503,0.346,0.120,0.107
64.000,0,0,0.000,0.000,0.003,0.000,0,-0.146,0.521,2.133,0.681
65.000,0,0,0.000,0.000,0.042,0.000,0,-1.863,0.299,0.044,0.042
66.000,0,0,0.000,0.000,0.088,0.000,0,-3.901,0.036,0.000,0.000
67.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
68.000,0,0,0.000,0.000,0.003,0.000,0,-0.139,0.522,2.159,0.683
69.000,0,0,0.000,0.000,0.002,0.000,0,-0.092,0.528,2.338,0.700
70.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
71.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
72.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
73.000,0,0,0.000,0.000,0.117,0.000,0,-4.183,0.000,0.000,0.000
74.000,0,1,0.000,0.041,0.024,0.000,0,2.454,0.856,69.666,0.986
75.000,0,1,0.000,0.009,0.010,0.004,1,2.508,0.863,73.765,0.987
76.000,0,1,0.000,0.008,0.008,0.001,1,2.344,0.842,61.977,0.984
77.000,0,0,0.000,0.000,0.003,0.000,0,-0.122,0.524,2.222,0.690
78.000,0,0,0.000,0.000,0.011,0.000,0,-0.502,0.475,1.115,0.527
79.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
80.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
81.000,0,0,0.000,0.000,0.388,0.000,0,-4.183,0.000,0.000,0.000
82.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
83.000,0,0,0.000,0.000,0.005,0.000,0,-0.243,0.508,1.797,0.642
84.000,0,0,0.000,0.000,0.055,0.031,0,-0.846,0.430,0.560,0.359
85.000,0,0,0.000,0.000,0.027,0.003,0,-1.062,0.403,0.350,0.259
86.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
87.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
88.000,0,0,0.000,0.000,0.015,0.000,0,-0.670,0.453,0.804,0.446
89.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
90.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
91.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
92.000,0,1,0.000,0.160,0.237,0.095,0,3.891,1.042,275.504,0.996
93.000,0,0,0.000,0.000,0.008,0.000,0,-0.336,0.496,1.521,0.603
94.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
95.000,0,0,0.000,0.000,0.002,0.000,0,-0.094,0.528,2.332,0.700
96.000,0,0,0.000,2.106,0.000,1.290,1,173.219,22.885,712401073111.511,1.000
97.000,0,0,0.000,0.002,0.003,0.001,1,3.567,1.000,206.774,0.995
98.000,0,1,0.000,0.000,0.008,0.000,0,1.124,0.685,14.519,0.936
99.000,0,0,0.000,0.000,0.011,0.000,0,-0.501,0.475,1.118,0.528
100.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
101.000,0,0,0.000,0.000,0.026,0.005,0,-0.900,0.424,0.499,0.333
102.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
103.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
104.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
105.000,1,0,0.000,0.000,0.008,0.000,1,-0.854,0.429,0.551,0.355
106.000,1,0,0.000,0.000,0.000,0.000,0,-1.303,0.372,0.199,0.166
107.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
108.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
109.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
110.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
111.000,0,0,0.000,0.000,0.000,0.000,0,0.001,0.540,2.739,0.733
112.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
113.000,0,1,0.000,0.002,0.010,0.000,0,1.122,0.684,14.477,0.935
114.000,0,1,0.000,0.067,0.113,0.040,0,1.871,0.781,36.549,0.973
115.000,0,1,0.000,0.000,0.011,0.000,0,0.971,0.665,11.824,0.922
116.000,0,0,0.000,0.000,0.010,0.000,1,0.379,0.589,5.027,0.834
117.000,0,0,0.000,0.471,0.272,0.266,1,26.086,3.905,2922432.366,1.000
118.000,0,1,0.000,0.000,0.003,0.000,0,3.567,1.000,206.774,0.995
119.000,0,0,0.000,0.000,0.003,0.000,0,-0.122,0.524,2.223,0.690
120.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
121.000,0,0,0.000,0.000,0.010,0.000,0,-0.444,0.482,1.244,0.554
122.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
123.000,0,0,0.000,0.024,0.019,0.020,1,2.198,0.823,52.865,0.981
124.000,0,0,0.000,0.000,0.016,0.000,1,0.111,0.554,3.288,0.767
125.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
126.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
127.000,0,0,0.000,0.000,0.001,0.000,0,-0.048,0.533,2.522,0.716
128.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
129.000,0,1,0.000,0.000,0.001,0.000,1,2.221,0.826,54.234,0.982
130.000,0,0,0.000,0.000,0.270,0.000,0,-4.183,0.000,0.000,0.000
131.000,0,0,0.000,0.000,0.171,0.000,0,-4.183,0.000,0.000,0.000
132.000,0,0,0.000,0.046,0.135,0.046,0,-1.295,0.373,0.203,0.169
133.000,0,0,0.000,0.000,0.005,0.000,0,-0.230,0.510,1.839,0.648
134.000,0,1,0.000,0.000,0.002,0.000,0,1.356,0.715,19.591,0.951
135.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
136.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
137.000,0,0,0.000,0.085,0.092,0.053,1,3.688,1.015,230.482,0.996
138.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
139.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
140.000,0,0,0.001,0.000,0.015,0.000,0,-0.688,0.451,0.776,0.437
141.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
142.000,0,0,0.000,0.000,0.000,0.000,0,0.002,0.540,2.744,0.733
143.000,0,0,0.000,0.028,0.025,0.000,1,1.104,0.682,14.134,0.934
144.000,0,0,0.000,0.038,0.031,0.003,1,1.498,0.733,23.402,0.959
145.000,0,0,0.000,0.012,0.019,0.000,1,0.590,0.616,6.897,0.873
146.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
147.000,1,0,0.000,0.000,0.004,0.000,0,-1.502,0.346,0.121,0.108
148.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
149.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
150.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
151.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
152.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
153.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
154.000,0,0,0.000,0.003,0.000,0.000,0,0.159,0.560,3.553,0.780
155.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
156.000,0,1,0.000,0.000,0.007,0.000,0,1.150,0.688,15.026,0.938
157.000,0,0,0.000,0.063,0.091,0.063,0,2.346,0.842,62.077,0.984
158.000,0,1,0.000,0.003,0.007,0.003,0,1.419,0.723,21.200,0.955
159.000,0,1,0.000,0.000,0.016,0.000,0,0.759,0.638,8.799,0.898
160.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
161.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
162.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
163.000,0,0,0.000,0.000,0.012,0.000,0,-0.520,0.473,1.078,0.519
164.000,0,0,0.000,0.000,0.014,0.000,0,-0.630,0.458,0.870,0.465
165.000,0,0,0.120,0.000,1.846,0.000,0,-4.183,0.000,0.000,0.000
166.000,0,0,0.000,0.000,0.006,0.000,0,-0.265,0.506,1.729,0.634
167.000,0,0,0.004,0.000,0.004,0.000,0,-0.325,0.498,1.551,0.608
168.000,0,0,0.000,0.000,0.000,0.000,0,-0.013,0.538,2.676,0.728
169.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
170.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
171.000,0,0,0.000,0.000,0.025,0.000,1,-0.292,0.502,1.646,0.622
172.000,0,0,0.000,0.000,0.016,0.000,0,-0.734,0.445,0.707,0.414
173.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
174.000,1,0,0.000,0.000,0.000,0.000,0,-1.322,0.369,0.191,0.160
175.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
176.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
177.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
178.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
179.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
180.000,0,1,0.000,0.000,0.043,0.011,1,0.949,0.662,11.472,0.920
181.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
182.000,0,1,0.000,0.000,0.149,0.000,0,-4.183,0.000,0.000,0.000
183.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
184.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
185.000,0,0,0.000,0.000,0.012,0.001,1,0.379,0.589,5.020,0.834
186.000,0,0,0.000,0.000,0.002,0.002,0,0.015,0.542,2.803,0.737
187.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
188.000,0,1,0.000,0.000,0.000,0.000,0,1.461,0.728,22.367,0.957
189.000,0,0,0.000,0.000,0.005,0.000,0,-0.208,0.513,1.913,0.657
190.000,0,0,0.000,0.000,0.025,0.002,0,-0.973,0.414,0.427,0.299
191.000,0,0,0.000,0.000,0.251,0.000,0,-4.183,0.000,0.000,0.000
192.000,1,1,0.000,0.000,0.000,0.000,0,0.136,0.557,3.422,0.774
193.000,0,0,0.000,0.000,0.000,0.000,0,0.004,0.540,2.753,0.734
194.000,0,0,0.000,0.000,0.000,0.000,1,0.835,0.647,9.803,0.907
195.000,0,0,0.000,0.000,0.025,0.000,0,-1.096,0.398,0.325,0.245
196.000,0,0,0.000,0.007,0.056,0.000,1,-1.300,0.372,0.201,0.167
197.000,1,0,0.000,0.000,0.009,0.000,0,-1.699,0.321,0.071,0.066
198.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
199.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
200.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
201.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
202.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
203.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
204.000,0,1,0.000,0.020,0.019,0.000,1,2.440,0.854,68.677,0.986
205.000,0,0,0.000,0.002,0.002,0.000,0,0.030,0.544,2.877,0.742
206.000,0,0,0.000,0.001,0.004,0.000,0,-0.131,0.523,2.187,0.686
207.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
208.000,0,0,0.000,0.000,0.022,0.000,0,-0.985,0.413,0.416,0.294
209.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
210.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
211.000,0,0,0.000,0.000,0.001,0.000,1,0.781,0.640,9.088,0.901
212.000,0,0,0.000,0.000,0.022,0.000,1,-0.161,0.519,2.078,0.675
213.000,0,0,0.000,0.000,0.031,0.005,1,-0.288,0.502,1.657,0.624
214.000,0,0,0.000,0.000,0.014,0.000,1,0.210,0.567,3.852,0.794
215.000,0,0,0.000,0.000,5.604,4.800,0,-1.547,0.340,0.107,0.097
216.000,0,0,0.000,0.000,0.004,0.000,1,0.631,0.621,7.328,0.880
217.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
218.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
219.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
220.000,0,0,0.000,0.000,0.007,0.000,1,0.490,0.603,5.943,0.856
221.000,0,0,0.000,0.000,0.019,0.000,0,-0.844,0.431,0.563,0.360
222.000,0,0,0.005,0.000,0.005,0.000,0,-0.417,0.486,1.309,0.567
223.000,0,1,0.000,0.000,0.001,0.000,0,1.428,0.724,21.458,0.955
224.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
225.000,0,0,0.000,0.032,0.027,0.015,1,1.984,0.796,41.643,0.977
226.000,0,0,0.000,0.050,0.049,0.000,0,0.296,0.578,4.416,0.815
227.000,0,0,0.000,0.042,0.037,0.000,1,1.285,0.705,17.889,0.947
228.000,0,0,0.000,0.003,0.034,0.000,1,-0.578,0.465,0.963,0.491
229.000,0,0,0.000,0.000,0.056,0.000,0,-2.471,0.221,0.005,0.005
230.000,0,0,0.000,0.025,0.099,0.000,1,-2.320,0.240,0.009,0.009
231.000,0,0,0.000,0.006,0.089,0.000,1,-2.852,0.172,0.001,0.001
232.000,0,0,0.000,0.000,0.184,0.000,0,-4.183,0.000,0.000,0.000
233.000,1,0,0.000,0.000,0.008,0.000,0,-1.677,0.323,0.075,0.070
234.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
235.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
236.000,1,0,0.000,0.000,0.000,0.000,0,-1.319,0.370,0.192,0.161
237.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
238.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
239.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
240.000,0,0,0.000,0.000,0.012,0.000,1,0.266,0.574,4.211,0.808
241.000,0,1,0.000,0.000,0.007,0.003,1,2.123,0.814,48.677,0.980
242.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
243.000,0,0,0.000,0.000,0.104,0.000,1,-3.792,0.050,0.000,0.000
244.000,0,0,0.000,0.000,0.003,0.000,1,0.666,0.626,7.708,0.885
245.000,0,0,0.000,0.000,0.000,0.000,0,0.000,0.540,2.734,0.732
246.000,0,0,0.004,0.000,0.015,0.000,1,0.032,0.544,2.885,0.743
247.000,0,0,0.000,0.000,0.031,0.012,1,0.063,0.548,3.039,0.752
248.000,0,0,0.000,0.000,0.030,0.028,0,0.101,0.553,3.233,0.764
249.000,0,0,0.000,0.000,0.025,0.012,1,0.317,0.581,4.565,0.820
250.000,0,0,0.000,0.000,0.041,0.000,1,-0.991,0.412,0.410,0.291
251.000,0,0,0.000,0.000,0.020,0.000,1,-0.085,0.529,2.367,0.703
