"VARSET2","CLASS2","VARNAMES2","MEANS2"
1,0,"SSH7_25",0.130702836004932
1,1,"SSH7_25",0.274438812454743
2,0,"SPDIASTRC",1.30826140567201
2,1,"SPDIASTRC",1.56408399710355
2,0,"SSH7_25",0.130702836004932
2,1,"SSH7_25",0.274438812454743
3,0,"L039",0.0104808877928483
3,1,"L039",0.0492396813902969
3,0,"SPDIASTRC",1.30826140567201
3,1,"SPDIASTRC",1.56408399710355
3,0,"SSH7_25",0.130702836004932
3,1,"SSH7_25",0.274438812454743
4,0,"L039",0.0104808877928483
4,1,"L039",0.0492396813902969
4,0,"RDDEN",0.0357690875462392
4,1,"RDDEN",0.0329483091962346
4,0,"SPDIASTRC",1.30826140567201
4,1,"SPDIASTRC",1.56408399710355
4,0,"SSH7_25",0.130702836004932
4,1,"SSH7_25",0.274438812454743
5,0,"L039",0.0104808877928483
5,1,"L039",0.0492396813902969
5,0,"RDDEND1",0.500616522811344
5,1,"RDDEND1",0.429398986241854
5,0,"SPDIASTRC",1.30826140567201
5,1,"SPDIASTRC",1.56408399710355
5,0,"SSH7_25",0.130702836004932
5,1,"SSH7_25",0.274438812454743
6,0,"L039",0.0104808877928483
6,1,"L039",0.0492396813902969
6,0,"OICP",0.381011097410604
6,1,"OICP",0.485155684286749
6,0,"SPDIASTRC",1.30826140567201
6,1,"SPDIASTRC",1.56408399710355
6,0,"SSH7_25",0.130702836004932
6,1,"SSH7_25",0.274438812454743
7,0,"L039",0.0104808877928483
7,1,"L039",0.0492396813902969
7,0,"RDDEN",0.0357690875462392
7,1,"RDDEN",0.0329483091962346
7,0,"RDP",0.875462392108508
7,1,"RDP",0.923968139029689
7,0,"SPDIASTRC",1.30826140567201
7,1,"SPDIASTRC",1.56408399710355
7,0,"SSH7_25",0.130702836004932
7,1,"SSH7_25",0.274438812454743
8,0,"L039",0.0104808877928483
8,1,"L039",0.0492396813902969
8,0,"OICP",0.381011097410604
8,1,"OICP",0.485155684286749
8,0,"SLOPSTR1",0.0359819949198238
8,1,"SLOPSTR1",0.0348719320600704
8,0,"SPDIASTRC",1.30826140567201
8,1,"SPDIASTRC",1.56408399710355
8,0,"SSH7_25",0.130702836004932
8,1,"SSH7_25",0.274438812454743
9,0,"BLDADEN",0.219108679613829
9,1,"BLDADEN",0.22872441890272
9,0,"L039",0.0104808877928483
9,1,"L039",0.0492396813902969
9,0,"RDDEN",0.0357690875462392
9,1,"RDDEN",0.0329483091962346
9,0,"RDP",0.875462392108508
9,1,"RDP",0.923968139029689
9,0,"SPDIASTRC",1.30826140567201
9,1,"SPDIASTRC",1.56408399710355
9,0,"SSH7_25",0.130702836004932
9,1,"SSH7_25",0.274438812454743
10,0,"L039",0.0104808877928483
10,1,"L039",0.0492396813902969
10,0,"OICP",0.381011097410604
10,1,"OICP",0.485155684286749
10,0,"RDDEN",0.0357690875462392
10,1,"RDDEN",0.0329483091962346
10,0,"RDP",0.875462392108508
10,1,"RDP",0.923968139029689
10,0,"SPDIASTRC",1.30826140567201
10,1,"SPDIASTRC",1.56408399710355
10,0,"SSH7_25",0.130702836004932
10,1,"SSH7_25",0.274438812454743
11,0,"BLDADEN",0.219108679613829
11,1,"BLDADEN",0.22872441890272
11,0,"L039",0.0104808877928483
11,1,"L039",0.0492396813902969
11,0,"OICP",0.381011097410604
11,1,"OICP",0.485155684286749
11,0,"RDDEN",0.0357690875462392
11,1,"RDDEN",0.0329483091962346
11,0,"RDP",0.875462392108508
11,1,"RDP",0.923968139029689
11,0,"SPDIASTRC",1.30826140567201
11,1,"SPDIASTRC",1.56408399710355
11,0,"SSH7_25",0.130702836004932
11,1,"SSH7_25",0.274438812454743
12,0,"L039",0.0104808877928483
12,1,"L039",0.0492396813902969
12,0,"OICP",0.381011097410604
12,1,"OICP",0.485155684286749
12,0,"PCLDEND1",0.237361282367448
12,1,"PCLDEND1",0.169442433019551
12,0,"RDDEN",0.0357690875462392
12,1,"RDDEN",0.0329483091962346
12,0,"RDP",0.875462392108508
12,1,"RDP",0.923968139029689
12,0,"SPDIASTRC",1.30826140567201
12,1,"SPDIASTRC",1.56408399710355
12,0,"SSH7_25",0.130702836004932
12,1,"SSH7_25",0.274438812454743
13,0,"L039",0.0104808877928483
13,1,"L039",0.0492396813902969
13,0,"OICP",0.381011097410604
