VARNAME,RANK,P,IMPORTANCE
SDIASAN1,11,0.038,0.108
SDIASAN2,10,0.099,0.177
SPAGE3,19,0.038,0.094
L130,10,0.196,0.249
SAGESAND2,13,0.059,0.128
RDDEND10,9,0.162,0.232
BLDDEND10,2,0.303,0.463
WRIVCV20P,9,0.177,0.243
ISAPCDH,10,0.158,0.224
SAGESTR4,15,0.067,0.131
SDEN,10,0.158,0.224
SPAGESTR4,19,0.044,0.101
HSLWCH100,10,0.144,0.213
SDIASAND3,20,0.022,0.070
SPAGESTR2,5,0.277,0.352
SAGE5,3,0.220,0.356
SAGE3,16,0.059,0.121
GDRAIN4MW,6,0.067,0.165
SPDIASTR5,16,0.044,0.105
BLDADEN,5,0.259,0.340
GDRAIN5I,16,0.106,0.163
SPAGESAN2,4,0.070,0.187
SSHCTNUM,3,0.176,0.319
SPDIASAN2,10,0.140,0.211
WRIVP,12,0.091,0.162
WOTHCH500P,20,0.022,0.070
RDP,18,0.054,0.113
MCH500,13,0.104,0.170
MDITCV10,16,0.083,0.144
ISAPCH100,13,0.063,0.132
GDRAIN6P,9,0.222,0.272
WLAKCH500P,20,0.022,0.070
T20_2000SD,6,0.268,0.331
OBWP,1,0.311,0.557
LRESIDENT,6,0.258,0.324
SPAGECOM4,9,0.179,0.244
SPDIA4,11,0.191,0.240
SPDIA3,11,0.170,0.227
HSLWP,18,0.022,0.072
SAGESAN2,15,0.044,0.107
MDITCH500,11,0.054,0.128
SDIASTR1,19,0.022,0.071
SAGESAN4,17,0.054,0.115
WRIVEDH,9,0.158,0.230
GAWHC5,14,0.022,0.077
