VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20
1,1,10,1,OBWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2,11,10,2,BLDDEND10,OBWP,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,21,9,3,BLDDEND10,OBWP,SSHCTNUM,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,27,1,3,BLDDEND10,OBWP,SAGE5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,31,8,4,BLDDEND10,OBWP,SAGE5,SPAGESAN2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,38,2,4,BLDDEND10,OBWP,SPAGESAN2,SSHCTNUM,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,41,10,5,BLDADEN,BLDDEND10,OBWP,SPAGESTR2,SSHCTNUM,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,51,1,6,BLDDEND10,GDRAIN4MW,OBWP,SAGE5,SPAGESTR2,T20_2000SD,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,52,9,6,BLDDEND10,LRESIDENT,OBWP,SPAGESTR2,SSHCTNUM,T20_2000SD,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,61,10,7,BLDADEN,BLDDEND10,OBWP,SAGE5,SPAGESTR2,SSHCTNUM,T20_2000SD,N,N,N,N,N,N,N,N,N,N,N,N,N
11,71,10,8,BLDADEN,BLDDEND10,LRESIDENT,OBWP,SAGE5,SPAGESTR2,SSHCTNUM,T20_2000SD,N,N,N,N,N,N,N,N,N,N,N,N
12,81,7,9,BLDADEN,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N,N
13,83,1,9,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,RDDEND10,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N,N
14,84,1,9,BLDADEN,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N,N,N,N,N
15,89,1,9,BLDADEN,BLDDEND10,LRESIDENT,OBWP,SPAGECOM4,SPAGESTR2,SSHCTNUM,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N,N
16,91,1,10,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SDEN,SDIASAN2,SPAGECOM4,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N
17,92,6,10,BLDADEN,BLDDEND10,GDRAIN6P,HSLWCH100,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N
18,95,1,10,BLDDEND10,GDRAIN6P,HSLWCH100,L130,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N
19,96,1,10,BLDADEN,BLDDEND10,GDRAIN6P,ISAPCDH,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N,N,N,N
20,98,1,10,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SDEN,SPAGECOM4,SPAGESTR2,SPDIASAN2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N,N
21,101,2,11,BLDADEN,BLDDEND10,GDRAIN6P,HSLWCH100,LRESIDENT,MDITCH500,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N
22,103,4,11,BLDADEN,BLDDEND10,GDRAIN6P,HSLWCH100,L130,LRESIDENT,OBWP,SAGE5,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N
23,104,1,11,BLDADEN,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SAGE5,SDIASAN1,SPAGECOM4,SPAGESTR2,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N,N,N
24,106,1,11,BLDADEN,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,RDDEND10,SAGE5,SPAGESTR2,SPDIA4,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N
25,107,1,11,BLDDEND10,GDRAIN6P,LRESIDENT,OBWP,SDEN,SDIASAN2,SPAGESTR2,SPDIA3,SPDIA4,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N,N
26,110,1,11,BLDADEN,BLDDEND10,GDRAIN6P,ISAPCDH,LRESIDENT,OBWP,SAGE5,SPAGESTR2,SPDIA3,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N,N,N
27,111,7,12,BLDADEN,BLDDEND10,GDRAIN6P,L130,LRESIDENT,OBWP,SAGE5,SPAGESTR2,SPDIA4,T20_2000SD,WRIVCV20P,WRIVP,N,N,N,N,N,N,N,N
28,113,1,12,BLDDEND10,GDRAIN6P,L130,LRESIDENT,OBWP,RDDEND10,SDEN,SDIASAN2,SPAGECOM4,SPAGESTR2,T20_2000SD,WRIVCV20P,N,N,N,N,N,N,N,N
29,114,1,12,BLDADEN,BLDDEND10,GDRAIN6P,HSLWCH100,LRESIDENT,OBWP,SAGE5,SPAGESTR2,SPDIA4,T20_2000SD,WRIVCV20P,WRIVP,N,N,N,N,N,N,N,N
30,120,1,12,BLDADEN,BLDDEND10,GDRAIN6P,ISAPCDH,LRESIDENT,OBWP,RDDEND10,SAGE5,SPAGESTR2,SPDIA3,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N,N
31,121,2,13,BLDADEN,BLDDEND10,GDRAIN6P,ISAPCDH,LRESIDENT,OBWP,RDDEND10,SAGE5,SPAGESTR2,SPDIA3,SPDIA4,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N
32,122,1,13,BLDADEN,BLDDEND10,ISAPCH100,L130,LRESIDENT,OBWP,RDDEND10,SPAGECOM4,SPAGESTR2,SPDIASAN2,SSHCTNUM,T20_2000SD,WRIVEDH,N,N,N,N,N,N,N
