TVID,VARNAME,XVARSEL
1,UID,N
2,DRUID,N
3,MRATID,N
4,DRUIDAREA,N
5,POSTALCODE,N
6,BLDADEN,X
7,BLDADEND0,X
8,BLDADEND1,X
9,BLDADEND2,X
10,BLDADEND3,X
11,BLDADEND4,X
12,BLDADEND5,X
13,BLDADEND6,X
14,BLDADEND7,X
15,BLDADEND8,X
16,BLDADEND9,X
17,BLDADEND10,X
18,BLDAGEMAX,X
19,BLDAGEMEA,X
20,BLDAGEMED,X
21,BLDAGEMIN,X
22,BLDAGESTD,X
23,BLDCNT,N
24,BLDDEN,X
25,BLDDEND0,X
26,BLDDEND1,X
27,BLDDEND2,X
28,BLDDEND3,X
29,BLDDEND4,X
30,BLDDEND5,X
31,BLDDEND6,X
32,BLDDEND7,X
33,BLDDEND8,X
34,BLDDEND9,X
35,BLDDEND10,X
36,BLDDENI,X
37,BLDHTMAX,X
38,BLDHTMEA,X
39,BLDHTMED,X
40,BLDHTMIN,X
41,BLDHTSTD,X
42,BLDP,X
43,CLPRD,N
44,CLPRD30CNT,N
45,CLPRD30P,N
46,CLPRD31CNT,N
47,CLPRD31P,N
48,CLPRD39CNT,N
49,CLPRD39P,N
50,CLPRDCNT,N
51,CLPRDP,Y
52,CLPRDUKCNT,N
53,CLPRDUKP,N
54,CLTOT30CNT,N
55,CLTOT30P,N
56,CLTOT31CNT,N
57,CLTOT31P,N
58,CLTOT39CNT,N
59,CLTOT39P,N
60,CLTOTCNT,N
61,CLTOTP,N
62,CLTOTUKCNT,N
63,CLTOTUKP,N
64,FLDDGN,X
65,FLDDGNPROP,X
66,FLDP,X
67,GAWHC,N
68,GAWHC1,X
69,GAWHC2,X
70,GAWHC3,X
71,GAWHC4,X
72,GAWHC5,X
73,GAWHC6,X
74,GAWHC7,X
75,GAWHC8,X
76,GAWHC9,X
77,GDRAIN1VR,X
78,GDRAIN2R,X
79,GDRAIN3W,X
80,GDRAIN4MW,X
81,GDRAIN5I,X
82,GDRAIN6P,X
83,GDRAIN7VP,X
84,GWTRTB1YB,X
85,GWTRTB2YG,X
86,GWTRTB3YN,X
87,GWTRTB4YU,X
88,GWTRTB5NO,X
89,HBNKCDH,N
90,HBNKCDV,N
91,HBNKCH050,N
92,HBNKCH100,N
