TVID,VARNAME,XVARSEL
1,LVI_FCOID,N
2,TopHt,N
3,LnVolL,N
4,LnVolDF,N
5,LnVolLP,N
6,LnVolES,N
7,LnVolAF,N
8,LnVolPP,N
9,CCover,N
10,ctim,X
11,elevm,X
12,eevsqrd,X
13,slopem,X
14,slpcosaspm,X
15,slpsinaspm,X
16,tmb1m,X
17,tmb2m,X
18,tmb3m,X
19,tmb4m,X
20,tmb5m,X
21,tmb6m,X
22,durm,X
23,insom,X
24,utmx,X
25,utmy,X
26,msavim,X
27,ndvim,X
28,crvm,X
29,tancrvm,X
30,tancrvsd,X
31,CLASS2,N
32,CLASS3,N
33,CLASS4,N
34,CLASS5,N
35,CLASS6,N
36,CLASS7,N
37,CLASS8,N
38,CLASS9,N
39,CLASS10,N
40,CLASS11,N
41,CLASS12,N
42,CLASS13,N
43,CLASS14,N
44,CLASS15,N
45,CLASS16,N
46,CLASS17,N
47,CLASS18,N
48,CLASS19,N
49,CLASS20,N
50,CLASS21,N
51,CLASS22,N
52,CLASS23,N
53,CLASS24,N
54,CLASS25,N
55,SORTGRP,N
