VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA,NVAR,UERROR,MODELID,NMODELS,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10,XVAR11,XVAR12,XVAR13,XVAR14,XVAR15,XVAR16,XVAR17,XVAR18,XVAR19,XVAR20,VARSETRANK
1,0.626,0.251,0.607,0.658,0.510,0.740,1,0.370,1,10,RDDEND1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.24721717171717172
2,0.606,0.209,0.577,0.679,0.388,0.820,2,0.361,11,10,RDDEND1,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.2009695431472081
3,0.323,-0.355,0.304,0.340,0.286,0.360,3,0.385,21,10,BLDADEND5,PCLDEND0,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-0.3757397959183673
4,0.636,0.272,0.630,0.644,0.592,0.680,4,0.351,31,4,BLDADEND5,PCLDEND0,SAGESTR3,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.25706666666666667
5,0.657,0.313,0.653,0.660,0.653,0.660,4,0.294,33,1,RDDEND1,SDIASTR2,T5_50MN,T5_50SD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.2989076923076923
6,0.667,0.334,0.638,0.707,0.580,0.755,4,0.324,34,2,SDENSAN,SDENSAND10,SPAGESTR3,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.32033846153846157
7,0.677,0.352,0.655,0.707,0.592,0.760,4,0.343,36,2,BLDADEND5,SDENSAND10,SDENSTR,SPAGESTR3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.33870769230769227
8,0.687,0.373,0.679,0.696,0.653,0.720,5,0.307,41,2,BLDADEND5,SAGESTR3,SDENSAND10,T5_50SD,T5_75MN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.356840206185567
9,0.707,0.414,0.698,0.717,0.673,0.740,5,-1.000,42,1,PCLDEND6,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.39889690721649484
10,0.717,0.434,0.712,0.723,0.694,0.740,5,0.294,43,1,PCLDEND0,RDDEND1,SDENSTR,SDIASTRD0,SPDIASTR2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.41941237113402063
11,0.717,0.434,0.704,0.733,0.673,0.760,5,0.319,44,2,BLDADEN,SDIASTRD7,SPDIASTR2,T10_850SD,T20_1300SD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0.41941237113402063
