,,VAL,RANK,AVGP
BLDADEN,0,0.0815779615061,1.0,0.010101010101
BLDADEN,1,0.100091018036,2.0,0.020202020202
BLDADEN,2,0.108853503093,3.0,0.030303030303
BLDADEN,3,0.113090114514,4.0,0.040404040404
BLDADEN,4,0.117028465035,5.0,0.0505050505051
BLDADEN,5,0.129304593544,6.0,0.0606060606061
BLDADEN,6,0.129857821436,7.0,0.0707070707071
BLDADEN,7,0.130876237961,8.0,0.0808080808081
BLDADEN,8,0.131289075809,9.0,0.0909090909091
BLDADEN,9,0.132975044182,10.0,0.10101010101
BLDADEN,10,0.135344487939,11.0,0.111111111111
BLDADEN,11,0.140719492628,12.0,0.121212121212
BLDADEN,12,0.140815372454,13.0,0.131313131313
BLDADEN,13,0.146085842985,14.0,0.141414141414
BLDADEN,14,0.148140369433,15.0,0.151515151515
BLDADEN,15,0.148392782995,16.0,0.161616161616
BLDADEN,16,0.150645347623,17.0,0.171717171717
BLDADEN,17,0.152310131117,18.0,0.181818181818
BLDADEN,18,0.152432632785,19.0,0.191919191919
BLDADEN,19,0.152597684583,20.0,0.20202020202
BLDADEN,20,0.153634699964,21.0,0.212121212121
BLDADEN,21,0.156767751145,22.0,0.222222222222
BLDADEN,22,0.159474831801,23.0,0.232323232323
BLDADEN,23,0.159809067684,24.0,0.242424242424
BLDADEN,24,0.159963258194,25.0,0.252525252525
BLDADEN,25,0.16011808579,26.0,0.262626262626
BLDADEN,26,0.160153517615,27.0,0.272727272727
BLDADEN,27,0.161013177483,28.0,0.282828282828
BLDADEN,28,0.161875376633,29.0,0.292929292929
BLDADEN,29,0.162240790413,30.0,0.30303030303
BLDADEN,30,0.162646297413,31.0,0.313131313131
BLDADEN,31,0.163744988211,32.0,0.323232323232
BLDADEN,32,0.165526090211,33.0,0.333333333333
BLDADEN,33,0.166153731233,34.0,0.343434343434
BLDADEN,34,0.16651622395,35.0,0.353535353535
BLDADEN,35,0.16999199924,36.0,0.363636363636
BLDADEN,36,0.170071358514,37.0,0.373737373737
BLDADEN,37,0.172225126955,38.0,0.383838383838
BLDADEN,38,0.172423013919,39.0,0.393939393939
BLDADEN,39,0.173154776837,40.0,0.40404040404
BLDADEN,40,0.173230217731,41.0,0.414141414141
BLDADEN,41,0.173536902894,42.0,0.424242424242
BLDADEN,42,0.177077286893,43.0,0.434343434343
BLDADEN,43,0.17934228757,44.0,0.444444444444
BLDADEN,44,0.180562943682,45.0,0.454545454545
BLDADEN,45,0.180929659203,46.0,0.464646464646
