"VARSET4","FUNCLABEL4","BTWTWCR4"
1,"LN1",2.62163348053626
2,"LN1",3.6931961078273
3,"LN1",4.5072928131406
4,"LN1",5.03171927150188
5,"LN1",5.08289902690702
6,"LN1",5.04851216975625
7,"LN1",4.88271996338853
8,"LN1",5.48618650862937
9,"LN1",6.06038582706017
10,"LN1",5.70045158942237
11,"LN1",5.18662617837051
12,"LN1",5.34318976791675
13,"LN1",5.68807068881741
14,"LN1",5.43811524240902
15,"LN1",6.23165184557775
16,"LN1",6.09878222424346
17,"LN1",5.74972628109451
18,"LN1",5.70775421259545
19,"LN1",6.6712915721298
20,"LN1",5.30741052547553
21,"LN1",5.74422908450846
22,"LN1",6.73344650565837
23,"LN1",5.85339682168693
24,"LN1",6.51832375521788
25,"LN1",6.58615576651401
26,"LN1",6.13842488521064
27,"LN1",6.32889973057391
28,"LN1",6.49592091962362
29,"LN1",6.59722214090431
30,"LN1",6.36206335415454
31,"LN1",6.04699637315306
32,"LN1",6.04782181565955
33,"LN1",7.27960070996344
34,"LN1",6.6912770981546
35,"LN1",7.32706596898984
36,"LN1",7.32996333027288
37,"LN1",7.03311141115816
38,"LN1",7.25151422089064
39,"LN1",7.54658316217641
40,"LN1",7.48438103577023
41,"LN1",7.40341218253795
42,"LN1",7.70781375100334
43,"LN1",6.62998254925746
44,"LN1",8.54131919801259
45,"LN1",8.35333023265184
46,"LN1",7.27760600585403
47,"LN1",7.74952012218404
48,"LN1",8.30844886431449
49,"LN1",8.54131919801259
50,"LN1",7.42169895189791
51,"LN1",8.05529999532542
52,"LN1",7.92558422677144
53,"LN1",7.7279354941919
54,"LN1",7.96846683931128
55,"LN1",9.11349198065833
56,"LN1",7.21539028238885
57,"LN1",8.04339528080982
58,"LN1",8.36271220997619
59,"LN1",8.8363589599309
60,"LN1",8.54117612219847
61,"LN1",7.59804678084097
62,"LN1",8.23039629790098
63,"LN1",7.48385030154918
64,"LN1",8.88616708158208
65,"LN1",7.98152352701453
66,"LN1",8.32467215143935
67,"LN1",7.54789801121396
68,"LN1",8.7011776477995
69,"LN1",9.27639699742838
70,"LN1",9.20794511558165
71,"LN1",9.24395877149208
72,"LN1",9.24630370820834
73,"LN1",9.72883711545113
74,"LN1",8.04059728935532
75,"LN1",9.46101315734066
76,"LN1",9.46272669150644
77,"LN1",8.24938210155789
78,"LN1",8.44951063051708
79,"LN1",9.30727716491491
80,"LN1",8.46128753159901
81,"LN1",9.33005686161274
82,"LN1",9.586476383972
83,"LN1",8.64690660991351
84,"LN1",9.63314369702355
85,"LN1",8.85690433314509
86,"LN1",8.15776018729837
87,"LN1",8.55368571904814
88,"LN1",10.7742939319347
89,"LN1",10.1174133225822
90,"LN1",9.56667773309085
91,"LN1",9.88463586618477
92,"LN1",8.58914858253093
93,"LN1",10.0530649644485
94,"LN1",9.66050231533706
95,"LN1",9.2250832870128
96,"LN1",10.1927748673591
97,"LN1",9.66340216149819
98,"LN1",9.96476002446235
99,"LN1",11.0653156424412
100,"LN1",10.7880922100143
101,"LN1",10.7709639844448
102,"LN1",9.14806561491423
103,"LN1",10.0360034078841
104,"LN1",11.1758038537998
105,"LN1",11.8250735320119
106,"LN1",10.9767919936548
107,"LN1",11.0311862137898
108,"LN1",10.2061934393743
109,"LN1",10.639572805643
110,"LN1",10.2670521816681
111,"LN1",10.777596946952
112,"LN1",11.3669121662505
113,"LN1",10.3169690932063
114,"LN1",10.3284714926724
115,"LN1",10.6526397145523
116,"LN1",11.6983351060776
117,"LN1",10.3237923945589
118,"LN1",10.6075828007716
119,"LN1",10.7794937957198
120,"LN1",11.325250405404
121,"LN1",10.0419400486986
122,"LN1",10.5382697917492
123,"LN1",12.6403800315136
124,"LN1",9.47403580712723
125,"LN1",10.0592485899613
126,"LN1",11.6751256146072
127,"LN1",9.95215925910867
128,"LN1",11.3298138444509
129,"LN1",11.1510470213905
130,"LN1",10.4179841834296
131,"LN1",11.069992212094
132,"LN1",11.7302294829531
133,"LN1",11.0471584228808
134,"LN1",11.8549052518066
135,"LN1",11.1384433706974
136,"LN1",11.5002478920085
137,"LN1",11.1011807370827
138,"LN1",11.8140441925912
139,"LN1",12.2172322727693
140,"LN1",13.2152781330826
141,"LN1",13.3125268689694
142,"LN1",11.6673816694645
143,"LN1",11.7218620007978
144,"LN1",11.5417109383244
145,"LN1",10.3979323916656
146,"LN1",11.1948636221704
147,"LN1",12.6203115495776
148,"LN1",10.354454896165
