"VARSET","REFCLASS","PREDCLASS","CTAB"
1,0,0,37
1,0,1,13
1,1,0,24
1,1,1,25
2,0,0,41
2,0,1,9
2,1,0,30
2,1,1,19
3,0,0,48
3,0,1,2
3,1,0,35
3,1,1,14
4,0,0,35
4,0,1,15
4,1,0,17
4,1,1,32
5,0,0,34
5,0,1,16
5,1,0,15
5,1,1,34
6,0,0,31
6,0,1,19
6,1,0,11
6,1,1,38
7,0,0,38
7,0,1,12
7,1,0,20
7,1,1,29
8,0,0,39
8,0,1,11
8,1,0,16
8,1,1,33
9,0,0,39
9,0,1,11
9,1,0,15
9,1,1,34
10,0,0,37
10,0,1,13
10,1,0,15
10,1,1,34
11,0,0,40
11,0,1,10
11,1,0,14
11,1,1,35
12,0,0,36
12,0,1,14
12,1,0,10
12,1,1,39
13,0,0,36
13,0,1,14
13,1,0,14
13,1,1,35
14,0,0,34
14,0,1,16
14,1,0,16
14,1,1,33
15,0,0,37
15,0,1,13
15,1,0,16
15,1,1,33
16,0,0,37
16,0,1,13
16,1,0,13
16,1,1,36
17,0,0,36
17,0,1,14
17,1,0,12
17,1,1,37
18,0,0,39
18,0,1,11
18,1,0,13
18,1,1,36
19,0,0,37
19,0,1,13
19,1,0,11
19,1,1,38
20,0,0,35
20,0,1,15
20,1,0,15
20,1,1,34
21,0,0,39
21,0,1,11
21,1,0,15
21,1,1,34
22,0,0,36
22,0,1,14
22,1,0,10
22,1,1,39
23,0,0,33
23,0,1,17
23,1,0,14
23,1,1,35
24,0,0,40
24,0,1,10
24,1,0,14
24,1,1,35
25,0,0,39
25,0,1,11
25,1,0,15
25,1,1,34
26,0,0,38
26,0,1,12
26,1,0,10
26,1,1,39
27,0,0,34
27,0,1,16
27,1,0,14
27,1,1,35
28,0,0,40
28,0,1,10
28,1,0,15
28,1,1,34
29,0,0,41
29,0,1,9
29,1,0,13
29,1,1,36
30,0,0,37
30,0,1,13
30,1,0,12
30,1,1,37
31,0,0,39
31,0,1,11
31,1,0,14
31,1,1,35
32,0,0,39
32,0,1,11
32,1,0,14
32,1,1,35
33,0,0,40
33,0,1,10
33,1,0,9
33,1,1,40
34,0,0,40
34,0,1,10
34,1,0,12
34,1,1,37
35,0,0,37
35,0,1,13
35,1,0,11
35,1,1,38
36,0,0,43
36,0,1,7
36,1,0,11
36,1,1,38
37,0,0,40
37,0,1,10
37,1,0,11
37,1,1,38
38,0,0,37
38,0,1,13
38,1,0,10
38,1,1,39
39,0,0,39
39,0,1,11
39,1,0,9
39,1,1,40
40,0,0,39
40,0,1,11
40,1,0,9
40,1,1,40
41,0,0,35
41,0,1,15
41,1,0,8
41,1,1,41
42,0,0,41
42,0,1,9
42,1,0,12
42,1,1,37
43,0,0,36
43,0,1,14
43,1,0,12
43,1,1,37
44,0,0,43
44,0,1,7
44,1,0,8
44,1,1,41
45,0,0,40
45,0,1,10
45,1,0,10
45,1,1,39
46,0,0,45
46,0,1,5
46,1,0,11
46,1,1,38
47,0,0,37
47,0,1,13
47,1,0,9
47,1,1,40
48,0,0,40
48,0,1,10
48,1,0,13
48,1,1,36
49,0,0,43
49,0,1,7
49,1,0,8
49,1,1,41
50,0,0,41
50,0,1,9
50,1,0,11
50,1,1,38
51,0,0,38
51,0,1,12
51,1,0,9
51,1,1,40
52,0,0,40
52,0,1,10
52,1,0,7
52,1,1,42
53,0,0,41
53,0,1,9
53,1,0,12
53,1,1,37
54,0,0,41
54,0,1,9
54,1,0,12
54,1,1,37
55,0,0,41
55,0,1,9
55,1,0,8
55,1,1,41
56,0,0,40
56,0,1,10
56,1,0,9
56,1,1,40
57,0,0,43
57,0,1,7
57,1,0,8
57,1,1,41
58,0,0,40
58,0,1,10
58,1,0,10
58,1,1,39
59,0,0,40
59,0,1,10
59,1,0,7
59,1,1,42
60,0,0,41
60,0,1,9
60,1,0,8
60,1,1,41
61,0,0,42
61,0,1,8
61,1,0,15
61,1,1,34
62,0,0,41
62,0,1,9
62,1,0,7
62,1,1,42
63,0,0,39
63,0,1,11
63,1,0,11
63,1,1,38
64,0,0,41
64,0,1,9
64,1,0,10
64,1,1,39
65,0,0,41
65,0,1,9
65,1,0,11
65,1,1,38
66,0,0,37
66,0,1,13
66,1,0,9
66,1,1,40
67,0,0,37
67,0,1,13
67,1,0,9
67,1,1,40
68,0,0,41
68,0,1,9
68,1,0,10
68,1,1,39
69,0,0,42
69,0,1,8
69,1,0,11
69,1,1,38
70,0,0,39
70,0,1,11
70,1,0,8
70,1,1,41
71,0,0,42
71,0,1,8
71,1,0,9
71,1,1,40
72,0,0,40
72,0,1,10
72,1,0,9
72,1,1,40
73,0,0,41
73,0,1,9
73,1,0,11
73,1,1,38
74,0,0,41
74,0,1,9
74,1,0,10
74,1,1,39
75,0,0,44
75,0,1,6
75,1,0,6
75,1,1,43
76,0,0,40
76,0,1,10
76,1,0,8
76,1,1,41
77,0,0,40
77,0,1,10
77,1,0,9
77,1,1,40
78,0,0,39
78,0,1,11
78,1,0,11
78,1,1,38
79,0,0,39
79,0,1,11
79,1,0,11
79,1,1,38
80,0,0,39
80,0,1,11
80,1,0,8
80,1,1,41
81,0,0,40
81,0,1,10
81,1,0,8
81,1,1,41
82,0,0,42
82,0,1,8
82,1,0,9
82,1,1,40
83,0,0,38
83,0,1,12
83,1,0,11
83,1,1,38
84,0,0,42
84,0,1,8
84,1,0,9
84,1,1,40
85,0,0,44
85,0,1,6
85,1,0,9
85,1,1,40
86,0,0,39
86,0,1,11
86,1,0,11
86,1,1,38
87,0,0,44
87,0,1,6
87,1,0,10
87,1,1,39
88,0,0,45
88,0,1,5
88,1,0,5
88,1,1,44
89,0,0,40
89,0,1,10
89,1,0,9
89,1,1,40
90,0,0,43
90,0,1,7
90,1,0,7
90,1,1,42
91,0,0,40
91,0,1,10
91,1,0,10
91,1,1,39
92,0,0,39
92,0,1,11
92,1,0,11
92,1,1,38
93,0,0,42
93,0,1,8
93,1,0,7
93,1,1,42
94,0,0,41
94,0,1,9
94,1,0,9
94,1,1,40
95,0,0,44
95,0,1,6
95,1,0,12
95,1,1,37
96,0,0,44
96,0,1,6
96,1,0,6
96,1,1,43
97,0,0,43
97,0,1,7
97,1,0,9
97,1,1,40
98,0,0,43
98,0,1,7
98,1,0,3
98,1,1,46
99,0,0,43
99,0,1,7
99,1,0,7
99,1,1,42
100,0,0,46
100,0,1,4
100,1,0,7
100,1,1,42
101,0,0,45
101,0,1,5
101,1,0,6
101,1,1,43
102,0,0,42
102,0,1,8
102,1,0,12
102,1,1,37
103,0,0,40
103,0,1,10
103,1,0,4
103,1,1,45
104,0,0,44
104,0,1,6
104,1,0,7
104,1,1,42
105,0,0,45
105,0,1,5
105,1,0,1
105,1,1,48
106,0,0,43
106,0,1,7
106,1,0,7
106,1,1,42
107,0,0,43
107,0,1,7
107,1,0,10
107,1,1,39
108,0,0,43
108,0,1,7
108,1,0,6
108,1,1,43
109,0,0,42
109,0,1,8
109,1,0,7
109,1,1,42
110,0,0,41
110,0,1,9
110,1,0,6
110,1,1,43
111,0,0,44
111,0,1,6
111,1,0,8
111,1,1,41
112,0,0,40
112,0,1,10
112,1,0,8
112,1,1,41
113,0,0,43
113,0,1,7
113,1,0,10
113,1,1,39
114,0,0,44
114,0,1,6
114,1,0,5
114,1,1,44
115,0,0,45
115,0,1,5
115,1,0,11
115,1,1,38
116,0,0,46
116,0,1,4
116,1,0,10
116,1,1,39
117,0,0,43
117,0,1,7
117,1,0,9
117,1,1,40
118,0,0,40
118,0,1,10
118,1,0,6
118,1,1,43
119,0,0,44
119,0,1,6
119,1,0,6
119,1,1,43
120,0,0,45
120,0,1,5
120,1,0,9
120,1,1,40
121,0,0,43
121,0,1,7
121,1,0,11
121,1,1,38
122,0,0,46
122,0,1,4
122,1,0,8
122,1,1,41
123,0,0,47
123,0,1,3
123,1,0,5
123,1,1,44
124,0,0,42
124,0,1,8
124,1,0,8
124,1,1,41
125,0,0,41
125,0,1,9
125,1,0,8
125,1,1,41
126,0,0,45
126,0,1,5
126,1,0,5
126,1,1,44
127,0,0,42
127,0,1,8
127,1,0,6
127,1,1,43
128,0,0,46
128,0,1,4
128,1,0,7
128,1,1,42
129,0,0,43
129,0,1,7
129,1,0,5
129,1,1,44
130,0,0,43
130,0,1,7
130,1,0,7
130,1,1,42
131,0,0,45
131,0,1,5
131,1,0,7
131,1,1,42
132,0,0,49
132,0,1,1
132,1,0,9
132,1,1,40
133,0,0,44
133,0,1,6
133,1,0,7
133,1,1,42
134,0,0,44
134,0,1,6
134,1,0,5
134,1,1,44
135,0,0,46
135,0,1,4
135,1,0,7
135,1,1,42
136,0,0,43
136,0,1,7
136,1,0,5
136,1,1,44
137,0,0,42
137,0,1,8
137,1,0,6
137,1,1,43
138,0,0,44
138,0,1,6
138,1,0,4
138,1,1,45
139,0,0,43
139,0,1,7
139,1,0,4
139,1,1,45
140,0,0,46
140,0,1,4
140,1,0,5
140,1,1,44
141,0,0,45
141,0,1,5
141,1,0,3
141,1,1,46
142,0,0,45
142,0,1,5
142,1,0,5
142,1,1,44
143,0,0,44
143,0,1,6
143,1,0,6
143,1,1,43
144,0,0,44
144,0,1,6
144,1,0,5
144,1,1,44
145,0,0,42
145,0,1,8
145,1,0,7
145,1,1,42
146,0,0,41
146,0,1,9
146,1,0,8
146,1,1,41
147,0,0,45
147,0,1,5
147,1,0,2
147,1,1,47
148,0,0,47
148,0,1,3
148,1,0,7
148,1,1,42
