"VARSET3","VARNAMES3","FUNCLABEL3","DFCOEF3"
1,"RDDEND1","LN1",2.10626077377935
2,"PCLDEND0","LN1",2.39725575173172
2,"SPDIASTR2","LN1",1.78562218024998
3,"PCLDEND0","LN1",1.75184890021486
3,"RDDEND1","LN1",-1.44734590702609
3,"SDIASTR2","LN1",52.2402666640534
4,"RDDEND1","LN1",-1.51005225882184
4,"SDENSTR","LN1",30.6514718467581
4,"SDIASTRD8","LN1",-76.7146263318533
5,"BLDADEND5","LN1",2.53340877269151
5,"PCLDEND0","LN1",1.96420554607286
5,"SPDIASTR2","LN1",1.44706238547782
6,"BLDADEND5","LN1",2.44441505855908
6,"SDIASTRD7","LN1",29.6222115456876
6,"SDIASTRD8","LN1",-59.0156623368385
6,"TSLOPE","LN1",0.174366169706957
7,"RDDEN","LN1",-29.7548071986094
7,"SAGESAND0","LN1",311.684984874632
7,"SDIASTR2","LN1",33.8154714911821
7,"SDIASTRD7","LN1",50.6471643862783
8,"RDDEND1","LN1",-1.64250103032398
8,"SAGESAND0","LN1",309.100968002724
8,"SDENSTRD10","LN1",1.29850936126085
8,"SDIASTRD8","LN1",-62.103171892515
9,"RDDEND1","LN1",-1.46966325455787
9,"SDENSTRD10","LN1",1.20655754695697
9,"SDIASTRD8","LN1",-76.3664472666062
9,"SPDIASTR3","LN1",0.990085442453153
10,"RDDEND1","LN1",-1.49723984911336
10,"SDIASTR2","LN1",47.8375567494135
10,"SPAGESAN1","LN1",3.41632535369329
10,"SPAGESTR3","LN1",1.84305590604742
11,"RDDEND1","LN1",-1.74307018483416
11,"SDIASTR2","LN1",52.123706127359
11,"SDIASTRD7","LN1",25.8286377877019
11,"SPAGESAN1","LN1",3.52094959717343
11,"SPDIASTRC","LN1",0.453764554650531
12,"PCLDEND4","LN1",1.54020053937469
12,"SDENSAND10","LN1",-1.22751545936739
12,"SDENSTR","LN1",33.3175904143787
12,"SDIASTRD8","LN1",-68.6024008208981
12,"SPDIASTR3","LN1",1.12069953558858
13,"BLDADEND5","LN1",2.32693157476141
13,"SDENSAND10","LN1",-1.49718302245924
13,"SDENSTRD10","LN1",1.39099107398606
13,"T10_300SD","LN1",0.0395609111933947
13,"T20_1100MN","LN1",-0.0368495828449317
14,"PCLDEND4","LN1",1.36475679820872
14,"RDDEN","LN1",-26.7337760934067
14,"SAGESAND0","LN1",294.504654974951
14,"SDIASTRD7","LN1",49.0830046419584
14,"SPDIASTR2","LN1",0.977133486396716
15,"PCLDEND0","LN1",1.67301057806591
15,"PCLDEND4","LN1",1.44621557587896
15,"RDDEN","LN1",-21.1078595021903
15,"SDIASTRD7","LN1",42.5322535897806
15,"SPDIASTR2","LN1",1.23574028309756
16,"RDDEND1","LN1",-1.67993696150044
16,"SAGESAND0","LN1",308.651058935665
16,"SDENSTRD10","LN1",1.29301192494965
16,"SDIASTRD8","LN1",-65.9190140373249
16,"T5_25MN","LN1",-1.41594034790439
17,"PCLDEND0","LN1",1.5781622251586
17,"RDDEND1","LN1",-1.51039158594777
17,"SDIASTR2","LN1",50.3016763121843
17,"SDIASTRD7","LN1",23.9749419441368
17,"SPDIASTRC","LN1",0.473842361955709
18,"PCLDEND6","LN1",-7.24321874257695
18,"RDDEN","LN1",-35.8500126510737
18,"SAGESAND0","LN1",285.251596236497
18,"SDENSTR","LN1",57.2142183590098
18,"SDIASTRD8","LN1",-62.6395965363736
19,"BLDADEND5","LN1",1.998198531737
19,"PCLDEND0","LN1",1.55533849005286
19,"SDIASTRD7","LN1",18.656358801248
19,"SPAGESTR3","LN1",1.88502553292866
19,"SPDIASTR2","LN1",1.26331054948834
20,"PCLDEND0","LN1",1.74528860255816
20,"PCLDEND4","LN1",1.10086471130568
20,"RDDEND1","LN1",-1.33362936850295
20,"SDENSTRD10","LN1",1.0519636839021
20,"SDIASTRD8","LN1",-41.1368124010609
20,"SPDIASTR2","LN1",0.982688285737437
21,"PCLDEND4","LN1",1.3635903647105
21,"RDDEN","LN1",-21.3767903224371
21,"SAGESAND0","LN1",270.688581767772
21,"SDIASTRD7","LN1",41.095052550543
21,"SPAGESTR3","LN1",1.58984022532268
21,"SPDIASTR2","LN1",0.948899218089512
22,"RDDEND1","LN1",-1.46207252223423
22,"SDIASTR2","LN1",42.6546587811027
22,"SDIASTRD7","LN1",31.1534559142872
22,"SPAGESAN1","LN1",3.48910149536264
22,"T10_750SD","LN1",0.0275383613173813
22,"T20_1300SD","LN1",-0.0211189784949187
23,"PCLDEND0","LN1",1.72497909380574
23,"PCLDEND5","LN1",-2.22726776310357
23,"RDDEND1","LN1",-1.16244835800197
23,"SDIASTR2","LN1",49.1101005485214
23,"SPAGESTR3","LN1",2.10973633481358
23,"SSH18","LN1",0.904347135156078
24,"PCLDEND6","LN1",-7.06787754186743
24,"RDDEN","LN1",-24.5209801771563
24,"RDDEND1","LN1",-0.996882115914173
24,"SAGESAND0","LN1",259.36570146042
24,"SDENSTR","LN1",51.2706206637782
24,"SDIASTRD8","LN1",-63.4944718183279
25,"PCLDEND0","LN1",2.09481632084072
25,"PCLDEND4","LN1",1.68196708105556
25,"RDDEN","LN1",-13.5585336444214
25,"SDIASTRD7","LN1",34.8346115459011
25,"SPAGESTR3","LN1",1.67953962757315
25,"SPDIASTR2","LN1",1.09021169780256
25,"T10_500SD","LN1",0.0153188000439555
26,"PCLDEND0","LN1",1.31934182907559
26,"PCLDEND6","LN1",-7.64176535088572
26,"RDDEN","LN1",-23.2563943874899
26,"RDDEND1","LN1",-0.97322435637376
26,"SDENSTR","LN1",52.3074513982869
26,"SDIASTRD8","LN1",-56.8127242077774
26,"T5_50SD","LN1",0.0898266683863538
27,"PCLDEND4","LN1",1.75281012129835
27,"SAGESAND0","LN1",525.881222983963
27,"SDENSAND10","LN1",-1.68650257810471
27,"SDENSTRD10","LN1",1.10569259645355
27,"SPAGESAN2","LN1",-2.05346568618836
27,"SPAGESTR3","LN1",2.05063540914146
27,"T20_1200MN","LN1",-0.00846103359350865
28,"PCLDEND4","LN1",0.838192861711266
28,"PCLDEND6","LN1",-6.69513753184371
28,"RDDEN","LN1",-23.1093654511854
28,"RDDEND1","LN1",-0.96014423929013
28,"SAGESAND0","LN1",266.421636529415
28,"SDENSTR","LN1",48.4967555120968
28,"SDIASTRD8","LN1",-63.3604096514887
29,"PCLDEND5","LN1",-1.69805776900211
29,"PCLDEND6","LN1",-7.36773285014392
29,"RDDEN","LN1",-27.4783449003532
29,"RDDEND1","LN1",-1.00488241667872
29,"SAGESAND0","LN1",253.70162931265
29,"SDENSTR","LN1",54.3129376067325
29,"SDIASTRD8","LN1",-59.1112915292546
30,"PCLDEND0","LN1",1.94803059346066
30,"PCLDEND4","LN1",1.87089229410167
30,"SDENSAND10","LN1",-0.691108115250362
30,"SDIASTRD7","LN1",24.8684535279583
30,"SPAGESTR3","LN1",2.11747737730291
30,"SPDIASTR2","LN1",1.13299278235094
30,"T10_550SD","LN1",0.0141569537912313
31,"PCLDEND6","LN1",-7.12028385172692
31,"RDDEN","LN1",-23.1484972784153
31,"RDDEND1","LN1",-1.13379804177438
31,"SAGESAND0","LN1",240.77118458706
31,"SDENSTR","LN1",50.4057871892192
31,"SDIASTRD8","LN1",-67.3195158142299
31,"SPDIASTRC","LN1",0.267217082583828
32,"PCLDEND4","LN1",1.79618171625342
32,"RDDEND1","LN1",-0.928322307922012
32,"SAGESAN1","LN1",1399.51830625505
32,"SAGESAND0","LN1",314.940965168238
32,"SAGESAND1","LN1",-171.536010594574
32,"SDENSAND10","LN1",-1.38213932342071
32,"SDENSTRD10","LN1",1.13678702744361
32,"SPAGESTR3","LN1",1.81417656265933
33,"PCLDEND5","LN1",-3.59059665975979
33,"PCLDEND6","LN1",-14.730781662003
33,"RDDEND1","LN1",-1.6341238693702
33,"SAGESAND3","LN1",80.5286816201949
33,"SDENSTR","LN1",35.6417056732701
33,"SLOPSAND6","LN1",-100.250530669945
33,"T10_300SD","LN1",0.0522198331254368
33,"T10_400MN","LN1",-0.0814325166820043
34,"PCLDEND0","LN1",2.04527130990813
34,"PCLDEND6","LN1",-5.36771008929282
34,"RDDEND1","LN1",-1.85932212231212
