"VARSET","NVAR","UERROR"
1,1,0.369657589577648
2,2,0.384349101413916
3,3,0.312291641821572
4,3,0.343567787520601
5,3,0.384800002284487
6,4,0.343345785540839
7,4,0.321235843181756
8,4,0.316466588520879
9,4,0.304690217370286
10,4,0.299252987120879
11,5,0.274534225918902
12,5,0.293452658071874
13,5,0.314172590393512
14,5,0.306923000330741
15,5,0.31370575791182
16,5,0.301749842861915
17,5,0.275615211878617
18,5,
19,5,0.343362047820249
20,6,0.287494347195675
21,6,0.301070346145233
22,6,0.274178315217327
23,6,0.27333806325467
24,6,
25,7,0.286062321158033
26,7,
27,7,0.292546191551786
28,7,
29,7,
30,7,0.285427613814256
31,7,
32,8,
33,8,
34,8,
35,8,
36,8,
37,8,0.246111504399824
38,8,0.234198494466903
39,8,
40,8,0.251655203926788
41,9,0.242681640374213
42,9,
43,9,
44,9,
45,9,
46,9,
47,9,0.238780311518279
48,9,
49,10,
50,10,
51,10,
52,10,
53,10,
54,10,0.20385731258926
55,10,
56,10,
57,10,
58,10,
