"VARSET2","CLASS2","VARNAMES2","MEANS2"
1,0,"RDDEND1",0.74
1,1,"RDDEND1",0.489795918367347
2,0,"PCLDEND0",0.04
2,1,"PCLDEND0",0.183673469387755
2,0,"SPDIASTR2",0.62
2,1,"SPDIASTR2",0.836734693877551
3,0,"PCLDEND0",0.04
3,1,"PCLDEND0",0.183673469387755
3,0,"RDDEND1",0.74
3,1,"RDDEND1",0.489795918367347
3,0,"SDIASTR2",0.00896142266378901
3,1,"SDIASTR2",0.0154221872608061
4,0,"RDDEND1",0.74
4,1,"RDDEND1",0.489795918367347
4,0,"SDENSTR",0.0338100779201485
4,1,"SDENSTR",0.0406710985381146
4,0,"SDIASTRD8",0.00634682
4,1,"SDIASTRD8",0.00200787755102041
5,0,"BLDADEND5",0
5,1,"BLDADEND5",0.122448979591837
5,0,"PCLDEND0",0.04
5,1,"PCLDEND0",0.183673469387755
5,0,"SPDIASTR2",0.62
5,1,"SPDIASTR2",0.836734693877551
6,0,"BLDADEND5",0
6,1,"BLDADEND5",0.122448979591837
6,0,"SDIASTRD7",0.00619772
6,1,"SDIASTRD7",0.0135395918367347
6,0,"SDIASTRD8",0.00634682
6,1,"SDIASTRD8",0.00200787755102041
6,0,"TSLOPE",6.55822098377637
6,1,"TSLOPE",7.50502803674389
7,0,"RDDEN",0.04717518
7,1,"RDDEN",0.0415864489795918
7,0,"SAGESAND0",0
7,1,"SAGESAND0",0.000749734693877551
7,0,"SDIASTR2",0.00896142266378901
7,1,"SDIASTR2",0.0154221872608061
7,0,"SDIASTRD7",0.00619772
7,1,"SDIASTRD7",0.0135395918367347
8,0,"RDDEND1",0.74
8,1,"RDDEND1",0.489795918367347
8,0,"SAGESAND0",0
8,1,"SAGESAND0",0.000749734693877551
8,0,"SDENSTRD10",0.82
8,1,"SDENSTRD10",0.938775510204082
8,0,"SDIASTRD8",0.00634682
8,1,"SDIASTRD8",0.00200787755102041
9,0,"RDDEND1",0.74
9,1,"RDDEND1",0.489795918367347
9,0,"SDENSTRD10",0.82
9,1,"SDENSTRD10",0.938775510204082
9,0,"SDIASTRD8",0.00634682
9,1,"SDIASTRD8",0.00200787755102041
9,0,"SPDIASTR3",0.4
9,1,"SPDIASTR3",0.591836734693878
10,0,"RDDEND1",0.74
10,1,"RDDEND1",0.489795918367347
10,0,"SDIASTR2",0.00896142266378901
10,1,"SDIASTR2",0.0154221872608061
10,0,"SPAGESAN1",0
10,1,"SPAGESAN1",0.0408163265306122
10,0,"SPAGESTR3",0.88
10,1,"SPAGESTR3",1
11,0,"RDDEND1",0.74
11,1,"RDDEND1",0.489795918367347
11,0,"SDIASTR2",0.00896142266378901
11,1,"SDIASTR2",0.0154221872608061
11,0,"SDIASTRD7",0.00619772
11,1,"SDIASTRD7",0.0135395918367347
11,0,"SPAGESAN1",0
11,1,"SPAGESAN1",0.0408163265306122
11,0,"SPDIASTRC",1.72
11,1,"SPDIASTRC",1.79591836734694
12,0,"PCLDEND4",0.06
