VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10
1,1,10,1,RDDEND1,N,N,N,N,N,N,N,N,N
2,11,10,2,PCLDEND0,SPDIASTR2,N,N,N,N,N,N,N,N
3,21,5,3,PCLDEND0,RDDEND1,SDIASTR2,N,N,N,N,N,N,N
4,22,4,3,RDDEND1,SDENSTR,SDIASTRD8,N,N,N,N,N,N,N
5,27,1,3,BLDADEND5,PCLDEND0,SPDIASTR2,N,N,N,N,N,N,N
6,31,1,4,BLDADEND5,SDIASTRD7,SDIASTRD8,TSLOPE,N,N,N,N,N,N
7,32,2,4,RDDEN,SAGESAND0,SDIASTR2,SDIASTRD7,N,N,N,N,N,N
8,33,5,4,RDDEND1,SAGESAND0,SDENSTRD10,SDIASTRD8,N,N,N,N,N,N
9,36,1,4,RDDEND1,SDENSTRD10,SDIASTRD8,SPDIASTR3,N,N,N,N,N,N
10,37,1,4,RDDEND1,SDIASTR2,SPAGESAN1,SPAGESTR3,N,N,N,N,N,N
11,41,1,5,RDDEND1,SDIASTR2,SDIASTRD7,SPAGESAN1,SPDIASTRC,N,N,N,N,N
12,42,1,5,PCLDEND4,SDENSAND10,SDENSTR,SDIASTRD8,SPDIASTR3,N,N,N,N,N
13,43,1,5,BLDADEND5,SDENSAND10,SDENSTRD10,T10_300SD,T20_1100MN,N,N,N,N,N
14,44,2,5,PCLDEND4,RDDEN,SAGESAND0,SDIASTRD7,SPDIASTR2,N,N,N,N,N
15,45,1,5,PCLDEND0,PCLDEND4,RDDEN,SDIASTRD7,SPDIASTR2,N,N,N,N,N
16,47,1,5,RDDEND1,SAGESAND0,SDENSTRD10,SDIASTRD8,T5_25MN,N,N,N,N,N
17,48,1,5,PCLDEND0,RDDEND1,SDIASTR2,SDIASTRD7,SPDIASTRC,N,N,N,N,N
18,49,1,5,PCLDEND6,RDDEN,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N,N,N
19,50,1,5,BLDADEND5,PCLDEND0,SDIASTRD7,SPAGESTR3,SPDIASTR2,N,N,N,N,N
20,52,1,6,PCLDEND0,PCLDEND4,RDDEND1,SDENSTRD10,SDIASTRD8,SPDIASTR2,N,N,N,N
21,53,4,6,PCLDEND4,RDDEN,SAGESAND0,SDIASTRD7,SPAGESTR3,SPDIASTR2,N,N,N,N
22,55,1,6,RDDEND1,SDIASTR2,SDIASTRD7,SPAGESAN1,T10_750SD,T20_1300SD,N,N,N,N
23,58,1,6,PCLDEND0,PCLDEND5,RDDEND1,SDIASTR2,SPAGESTR3,SSH18,N,N,N,N
24,59,2,6,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N,N
25,61,3,7,PCLDEND0,PCLDEND4,RDDEN,SDIASTRD7,SPAGESTR3,SPDIASTR2,T10_500SD,N,N,N
26,62,1,7,PCLDEND0,PCLDEND6,RDDEN,RDDEND1,SDENSTR,SDIASTRD8,T5_50SD,N,N,N
27,64,1,7,PCLDEND4,SAGESAND0,SDENSAND10,SDENSTRD10,SPAGESAN2,SPAGESTR3,T20_1200MN,N,N,N
28,66,1,7,PCLDEND4,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N
29,68,1,7,PCLDEND5,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N,N
30,69,1,7,PCLDEND0,PCLDEND4,SDENSAND10,SDIASTRD7,SPAGESTR3,SPDIASTR2,T10_550SD,N,N,N
31,70,1,7,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,SPDIASTRC,N,N,N
32,71,1,8,PCLDEND4,RDDEND1,SAGESAN1,SAGESAND0,SAGESAND1,SDENSAND10,SDENSTRD10,SPAGESTR3,N,N
33,72,1,8,PCLDEND5,PCLDEND6,RDDEND1,SAGESAND3,SDENSTR,SLOPSAND6,T10_300SD,T10_400MN,N,N
34,73,1,8,PCLDEND0,PCLDEND6,RDDEND1,SDENSTRD10,SDIASTRD8,SLOPSAN2,SPDIASTRC,T10_500SD,N,N
35,74,1,8,PCLDEND0,PCLDEND4,PCLDEND6,RDDEND1,SDENSTRD10,SDIASTRD8,T10_500SD,TSLOPE,N,N
36,75,1,8,PCLDEND4,RDDEND1,SAGESAND0,SAGESTRD10,SDENSAND10,SDENSTRD10,T5_25MN,T5_50SD,N,N
37,76,1,8,PCLDEND0,PCLDEND4,RDDEND1,SDIASTR2,SDIASTRD7,SLOPSAND6,SPDIASTRC,T10_500SD,N,N
38,77,1,8,PCLDEND4,RDDEND1,SAGESAND0,SDENSAND10,SDENSTRD10,SDIASTRD8,SPDIASTR3,SPDIASTRC,N,N
39,78,2,8,PCLDEND0,PCLDEND4,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,N,N
40,79,1,8,PCLDEND0,PCLDEND4,RDDEND1,SDIASTR2,SDIASTRD7,SPDIASTRC,T10_750SD,T20_1300SD,N,N
41,81,1,9,PCLDEND0,PCLDEND4,RDDEND1,SDENSTRD10,SDIASTRD0,SDIASTRD7,SLOPSAND6,SPDIASTR2,SPDIASTRC,N
42,82,2,9,PCLDEND4,PCLDEND6,RDDEN,RDDEND1,SAGESAND0,SDENSTR,SDIASTRD8,T5_25MN,T5_50SD,N
43,83,1,9,PCLDEND0,PCLDEND4,PCLDEND6,RDDEND1,SDENSTRD10,SDIASTRD8,SPDIASTRC,T10_500SD,TSLOPE,N
44,85,1,9,BLDDEND1,PCLDEND0,PCLDEND6,RDDEND1,SDENSTRD10,SDIASTRD0,SDIASTRD8,SPDIASTRC,TSLOPE,N
45,86,1,9,BLDDEND1,PCLDEND0,PCLDEND6,RDDEND1,SDENSTRD10,SDIASTRD8,SPDIASTRC,T10_800SD,T20_1300SD,N
