,VARNAME,IMPORTANCE,P,RANK
0,VAR1091,0.652994205726,0.426401432711,1
1,VAR1092,0.422346441921,0.356753034006,4
2,VAR11,0.126950617488,0.0426401432711,7
3,VAR197,0.469247006411,0.381385035698,3
4,VAR2,0.333862375545,0.273030134867,6
5,VAR20,0.20050314863,0.120604537831,9
6,VAR445,0.219884919541,0.127920429813,7
7,VAR465,0.466286309687,0.307482445914,2
8,VAR466,0.32758002686,0.262851496269,6
9,VAR477,0.32758002686,0.262851496269,6
10,VAR544,0.351543562209,0.276339711883,5
11,VAR647,0.156902193088,0.0738548945876,9
12,VAR775,0.347281640504,0.29541957835,6
13,VAR80,0.188879070838,0.112815214964,10
14,VAR872,0.221893209431,0.147709789175,9
15,VAR937,0.116120615092,0.0426401432711,10
