VARSET,MODELID,NMODELS,NVAR,XVAR1,XVAR2,XVAR3,XVAR4,XVAR5,XVAR6,XVAR7,XVAR8,XVAR9,XVAR10
1,1.0,10,1,VAR1091,N,N,N,N,N,N,N,N,N
2,11.0,10,2,VAR1091,VAR465,N,N,N,N,N,N,N,N
3,21.0,10,3,VAR1091,VAR197,VAR465,N,N,N,N,N,N,N
4,31.0,10,4,VAR1091,VAR1092,VAR197,VAR465,N,N,N,N,N,N
5,41.0,10,5,VAR1091,VAR1092,VAR197,VAR465,VAR544,N,N,N,N,N
6,51.0,9,6,VAR1091,VAR1092,VAR197,VAR2,VAR465,VAR775,N,N,N,N
7,60.0,1,6,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,N,N,N,N
8,61.0,8,7,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR775,N,N,N
9,62.0,1,7,VAR1091,VAR1092,VAR11,VAR197,VAR445,VAR465,VAR544,N,N,N
10,64.0,1,7,VAR1091,VAR1092,VAR197,VAR2,VAR465,VAR544,VAR775,N,N,N
11,71.0,10,8,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR544,VAR775,N,N
12,81.0,8,9,VAR1091,VAR1092,VAR197,VAR20,VAR445,VAR466,VAR477,VAR544,VAR775,N
13,84.0,1,9,VAR1091,VAR1092,VAR197,VAR2,VAR465,VAR544,VAR647,VAR775,VAR872,N
14,90.0,1,9,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR544,VAR775,VAR872,N
15,91.0,7,10,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR544,VAR775,VAR80,VAR872
16,95.0,1,10,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR544,VAR775,VAR872,VAR937
17,96.0,2,10,VAR1091,VAR1092,VAR197,VAR2,VAR466,VAR477,VAR544,VAR647,VAR775,VAR872
